index,choice,question,truth,response,judge_label,dataset_label,match
548,default,"A 45-year-old woman comes to the emergency department complaining of stomach upset and vomiting. This suddenly occurred today, whereas, over the past week, she has been experiencing constipation, along with frequent urination. She also complains of muscles, pains, and weakness. Sometimes she feels as though her pain is originating from her bones. All this makes walking difficult for her. She has not noted any spasms in her muscles. She also says that she occasionally gets headaches and fatigue with the inability to conduct her daily activities. Currently, her vital sign are typical. Physical examination is insignificant except for hypotonia and hyporeflexia. Which ionic imbalances has resulted in this patient's symptom?",Hypercalcemia,"Hypercalcemia (elevated serum Ca2+) — typically with ↓ serum phosphate (hypophosphatemia) as seen in primary hyperparathyroidism. 

Rationale: increased extracellular Ca2+ reduces neuronal/muscle excitability (stabilizes Na+ channels) causing muscle weakness, hypotonia, hyporeflexia, constipation, polyuria, bone pain and fatigue.",True,True,True
201,default,"A 71-year-old female is brought to the emergency department after experiencing a syncopal episode. Earlier in the day, she had multiple bowel movements with significant amounts of bright red blood filling the toilet. Shortly after, she felt dizzy and collapsed into her daughter’s arms. Her medical history includes diabetes mellitus and hypertension. On examination, her temperature is 99.0°F (37.2°C), blood pressure is 155/94 mmHg, pulse is 82/min, respirations are 15/min, and oxygen saturation is 99% on room air. Rectal examination reveals fecal occult blood positivity, though she is no longer passing bloody stool. Her lungs are clear, and her abdomen is soft and non-tender. Laboratory results are as follows: - Hemoglobin: 7.1 g/dL - Hematocrit: 25% - Leukocyte count: 5,300/mm³ with normal differential - Platelet count: 182,500/mm³ Two large-bore IVs are placed, and the patient is started on normal saline. What is the most appropriate next step in management?",Type and screen,"Transfuse packed red blood cells (type-and-cross and give PRBCs) for acute blood loss anemia. Her Hb is 7.1 g/dL with symptomatic bleeding/syncope, so red cell transfusion is indicated (target Hb ≈7–9 g/dL), then stabilize and arrange urgent endoscopic evaluation (colonoscopy) once resuscitated.",False,False,True
399,default,"An adolescent male with a confirmed COL1A1 genetic mutation presents to the emergency department reporting an unsteady gait and difficulty buttoning his shirt. On physical examination, extension and adduction of his fingers cause spontaneous abduction of the small finger. Additionally, snapping the distal phalanx of his middle finger results in spontaneous flexion of the other fingers. What is the most likely underlying cause of his symptom?",Basilar invagination,"A corticospinal (upper motor neuron) lesion from cervicomedullary compression — most likely basilar invagination/atlanto‑axial instability from osteogenesis imperfecta (COL1A1) causing spinal cord compression.  
(eg. the finger‑snap producing involuntary finger flexion is a positive Hoffmann sign — an UMN/myelopathic sign.)",True,True,True
276,default,"A 24-year-old woman presents to the emergency department with a 10-day history of low back pain. She says that she has been preparing for a major ballet performance, training intensely for 8 hours every day. Acetaminophen and ice packs provide little relief. Her past medical history is significant for mild scoliosis diagnosed at the age of 15 years. She denies any trauma. On examination, the left sacral sulcus is shallow and the left inferior lateral angle (ILA) is superior. The lumbosacral junction does not spring back on compression. The most likely diagnosis is?",left unilateral sacral extension,"Left unilateral sacral extension (left sacral base posterior). 

Rationale: a shallow left sacral sulcus with a superior/raised left ILA and a negative lumbosacral spring test are classic for a unilateral sacral extension on the left.",True,True,True
293,default,"A 68-year-old woman presents to the osteopathic clinic with a 6-month history of intermittent headaches and dizziness. She reports that dizziness often precedes the headaches, with both resolving spontaneously. She cannot identify a specific trigger for the dizziness, which she describes as a ""spinning room"" sensation that requires her to sit or brace herself. Episodes last between 30 seconds and 5 minutes, and she has not experienced any falls. She denies trauma or injury. Previous evaluations by her primary care provider, neurologist, and otolaryngologist have been unremarkable. Her medical history includes hypertension, for which she takes medication as prescribed. She denies tobacco or alcohol use. Vital sign are normal, and a neurologic exam is unremarkable. The Dix-Hallpike test is negative. Structural examination reveals the right greater wing of the sphenoid is superior to the left, with physiologic motion. The occipitoatlantal joint is boggy and tender, with a deep right occipital sulcus and symmetrical sulci in extension. At C6 and C7, the articular pillars are tender and rigid with restricted left translatory motion, unaffected by flexion or extension. What is the most likely primary diagnosis?",Right torsion cranial strain somatic dysfunction,"Most likely diagnosis: cervicogenic dizziness (cervicogenic vertigo) due to upper cervical/cranial-base somatic dysfunction (occipitoatlantal dysfunction with cranial base strain pattern, with contributory lower‑cervical somatic dysfunction).

Reason: episodic spinning vertigo with normal neuro/ENT workup and negative Dix–Hallpike points away from peripheral vestibular disease; the exam shows OA joint dysfunction (boggy, tender, deep right occipital sulcus) and a cranial base/sphenoid asymmetry and cervical articular pillar restrictions—findings consistent with a cervicogenic source of vertigo and headache.",False,False,True
342,default,"A 78-year-old male from a nursing facility is admitted to the emergency department due to two days of worsening suprapubic pain and painful urination. His medical history includes hypertension, chronic obstructive pulmonary disease, and a previous lower spinal cord injury causing paralysis below the waist. On examination, his temperature is 38.7 °C (101.7 °F), blood pressure is 148/90 mmHg, pulse is 90/min, and respiratory rate is 16/min. Tenderness is noted in the suprapubic region, but there is no costovertebral angle tenderness. He has a chronic indwelling urinary catheter. Laboratory finding reveal a leukocyte count of 18,000/mm³ and urinalysis showing 10–15 WBC/hpf with no RBCs. Blood and urine cultures have been sent for analysis. What is the most appropriate next step in the management of this patient?",Initiate ceftriaxone therapy,"This presentation is a symptomatic catheter-associated UTI. The next step is to remove/replace the indwelling urinary catheter (obtain a urine specimen from the new catheter) and start empiric antibiotic therapy covering typical gram‑negative uropathogens while awaiting culture results (eg, IV ceftriaxone or broader therapy if concerned about resistant organisms/Pseudomonas).",False,False,True
494,default,"A 48-year-old male with no prior medical history or medication is brought to the emergency department following a 3-minute seizure episode. His roommate discovered him unresponsive in bed with rhythmic movements of all extremities. Upon evaluation, the patient is lethargic but oriented. His vital sign show: temperature 99°F (37.2°C), blood pressure 130/90 mmHg, pulse 89/min, and respirations 16/min. Neurological examination reveals equal and reactive pupils, full strength in all extremities, and normal deep-tendon reflexes. Basic laboratory test including electrolytes, glucose, and complete blood count have been ordered. What should be the next step in this patient's management?",Urine toxicology,"Obtain an emergent noncontrast head CT. 

Rationale: in a new-onset generalized seizure in an adult you must urgently image to exclude acute intracranial pathology (hemorrhage, mass, infarct) as the provoking cause. EEG and neurology consultation can follow; long-term antiseizure medication is not started routinely after a single, resolved seizure unless imaging/EEG or clinical course indicate high risk or ongoing seizures.",False,False,True
551,default,"A 10-year-old girl returns to clinic for follow-up evaluation 4 weeks after being diagnosed with otitis media. Her vital sign are normal. Examination reveals clear bilateral auditory canals without erythema. The left tympanic membrane appears translucent without edema or erythema, while the right tympanic membrane shows significant opaque effusion but no erythema. The patient's cranial rhythmic impulse measures approximately 5 cycles per minute. A vault hold reveals an increased anteroposterior diameter of the head. Which additional finding would most likely be present?",Midline cranial bone extension,"Internal rotation (restricted motion) of the right temporal bone (petrous portion), producing Eustachian-tube dysfunction and the right middle-ear effusion.",False,False,True
800,default,"A 33-year-old woman visits her primary care physician due to non-bloody nipple discharge that has been occurring for the past month and occasionally stains her clothing. She consumes 2 to 3 alcoholic drinks daily and smokes one pack of cigarettes per day. She is undergoing outpatient psychiatric treatment following a recent hospitalization for auditory hallucinations and is on an unspecified medication prescribed by her psychiatrist. She also reports frequent headaches. Her vital sign include a temperature of 98.6°F (37.0°C), blood pressure of 137/68 mmHg, pulse of 70/min, respirations of 13/min, and oxygen saturation of 98% on room air. Physical examination reveals bilateral galactorrhea upon palpation. A urine pregnancy test is negative. What is the most appropriate next step in management?",TSH level,"Measure a serum prolactin level. 

Rationale: antipsychotic medications can cause hyperprolactinemia (dopamine blockade) with galactorrhea; confirm with prolactin testing and, if elevated, check TSH and consider pituitary MRI (especially given headaches) or adjust medication.",False,False,True
35,default,"A 52-year-old woman attends a follow-up visit for management of menopausal hot flashes. Her medical history includes hypertension, dyslipidemia, osteoporosis, and hypothyroidism due to Hashimoto's disease. Three months ago, she was started on oral estradiol and micronized progesterone for hot flashes, omeprazole for dyspepsia, and calcium for osteoporosis. She reports improvement in her hot flashes and mood. On review of symptom, she notes dry skin, occasional constipation, and mild fatigue but denies dyspepsia, depressed mood, hair loss, or weight changes. She has not experienced any falls or fractures. Her current medication include lisinopril 10 mg daily, atorvastatin 40 mg daily, alendronate 70 mg weekly, cholecalciferol 2000 IU daily, and levothyroxine 125 μg daily. Physical examination is unremarkable. Laboratory results from 6 months ago and today are as follows: | | 6 months ago | Today | Reference range | | --- | --- | --- | --- | | Thyroid-stimulating hormone (μU/mL) | 3.5 | 12.6 | 0.5–4.7 | | Total thyroxine (μg/dL) | 7.2 | 10.3 | 4.5–10.9 | | Sodium (mEq/liter) | 137 | 138 | 136–145 | | Potassium (mEq/liter) | 4.1 | 4.0 | 3.5–5.0 | | Chloride (mEq/liter) | 101 | 102 | 98–106 | | Carbon dioxide (mEq/liter) | 22 | 23 | 21–30 | | Blood urea nitrogen (mg/dL) | 15 | 17 | 10–20 | | Creatinine (mg/dL) | 1.0 | 0.9 | 0.6–1.1 | | Glucose (mg/dL) | 98 | 87 | 70–100 | What is the most likely cause of the observed changes in this patient’s thyroid function test?",Initiation of estradiol,"Initiation of oral estrogen therapy, which increases hepatic production of thyroxine‑binding globulin (TBG). Elevated TBG raises total T4 (more hormone bound) but lowers free T4 in patients on levothyroxine, causing an increase in TSH — i.e., her levothyroxine dose is now insufficient.",True,False,False
