index,choice,question,truth,response,judge_label,dataset_label,match
585,a,"A 42-year-old female patient comes to the office with a 2-week history of intermittent, dull low back pain following a slip on a wet floor. Her past medical history is unremarkable, and her only medication is a multivitamin. Vital sign are within normal limits. On physical examination in the prone position, the following finding are noted: * Normal muscle strength, tone, and reflexes * Mild tenderness over the sacrotuberous ligament * Deep sacral sulcus on the right * Posterior inferior lateral angle (ILA) on the left * Lumbosacral junction that does not spring freely on compression * L5 flexed, rotated right, and sidebent right What is the most likely diagnosis?",left sacral rotation around a right oblique axis,"Most likely diagnosis: left-on-right sacral torsion (sacral rotation to the left about a right oblique axis).

Reasoning: A deep right sacral sulcus with a posterior inferior lateral angle on the left is the classic palpatory pattern of an oblique-axis torsion. L5 is flexed, rotated right and sidebent right — L5 typically rotates opposite the sacrum in a torsion, so an L5 rotated right predicts sacral rotation to the left, consistent with an L-on-R torsion. Mild sacrotuberous tenderness and a non‑springing lumbosacral junction further support a sacral torsion.",True,True,True
585,b,"A 42-year-old female patient comes to the office with a 2-week history of intermittent, dull low back pain following a slip on a wet floor. Her past medical history is unremarkable, and her only medication is a multivitamin. Vital sign are within normal limits. On physical examination in the prone position, the following finding are noted: * Normal muscle strength, tone, and reflexes * Mild tenderness over the sacrotuberous ligament * Deep sacral sulcus on the right * Posterior inferior lateral angle (ILA) on the left * Lumbosacral junction that does not spring freely on compression * L5 flexed, rotated right, and sidebent right What is the most likely diagnosis?",left sacral rotation around a right oblique axis,"Most likely diagnosis: left unilateral sacral extension (left sacral base posterior).

Reasoning: A deep right sacral sulcus with a posterior–inferior left ILA and a positive sacral spring (L/S junction that does not spring anteriorly) indicate the left sacral base is held posterior (extension) with compensatory anterior motion on the right. In a true oblique-axis torsion the pattern of L5 and the spring test would differ (L5 typically rotates opposite the sacrum in a torsion); here L5 is flexed, rotated right, sidebent right and the spring test is restricted — findings that fit a left unilateral sacral extension rather than a left-on-left torsion.",False,False,True
585,c,"A 42-year-old female patient comes to the office with a 2-week history of intermittent, dull low back pain following a slip on a wet floor. Her past medical history is unremarkable, and her only medication is a multivitamin. Vital sign are within normal limits. On physical examination in the prone position, the following finding are noted: * Normal muscle strength, tone, and reflexes * Mild tenderness over the sacrotuberous ligament * Deep sacral sulcus on the right * Posterior inferior lateral angle (ILA) on the left * Lumbosacral junction that does not spring freely on compression * L5 flexed, rotated right, and sidebent right What is the most likely diagnosis?",left sacral rotation around a right oblique axis,"Left-on-left (L on L) sacral torsion — a forward torsion with the sacrum rotated left about the left oblique axis.

Reasoning: the exam shows a deep right sacral sulcus with a posterior/inferior left ILA (classic opposite-sided sulcus/ILA pattern for an oblique-axis torsion about the left axis). L5 is flexed, rotated and sidebent right — in a forward sacral torsion L5 typically rotates opposite the sacrum, which fits an L on L torsion. The sacrotuberous tenderness and reduced lumbosacral spring further support a sacral torsion.",False,False,True
585,d,"A 42-year-old female patient comes to the office with a 2-week history of intermittent, dull low back pain following a slip on a wet floor. Her past medical history is unremarkable, and her only medication is a multivitamin. Vital sign are within normal limits. On physical examination in the prone position, the following finding are noted: * Normal muscle strength, tone, and reflexes * Mild tenderness over the sacrotuberous ligament * Deep sacral sulcus on the right * Posterior inferior lateral angle (ILA) on the left * Lumbosacral junction that does not spring freely on compression * L5 flexed, rotated right, and sidebent right What is the most likely diagnosis?",left sacral rotation around a right oblique axis,"Conclusion: Left-on-right sacral torsion — left sacral rotation about a right oblique axis.

Reasoning: A deep sacral sulcus on the right with a posterior/inferior lateral angle (ILA) on the left is the classic sulcus/ILA pattern for a left rotation about a right oblique axis. The L5 found flexed, rotated right, and sidebent right (F R R) is the expected lumbar coupling with a left-on-right sacral torsion, supporting that diagnosis.",True,True,True
585,default,"A 42-year-old female patient comes to the office with a 2-week history of intermittent, dull low back pain following a slip on a wet floor. Her past medical history is unremarkable, and her only medication is a multivitamin. Vital sign are within normal limits. On physical examination in the prone position, the following finding are noted: * Normal muscle strength, tone, and reflexes * Mild tenderness over the sacrotuberous ligament * Deep sacral sulcus on the right * Posterior inferior lateral angle (ILA) on the left * Lumbosacral junction that does not spring freely on compression * L5 flexed, rotated right, and sidebent right What is the most likely diagnosis?",left sacral rotation around a right oblique axis,"Backward sacral torsion — sacrum rotated right on a left oblique axis (R on L).  
Findings: deep right sacral sulcus, posterior/inferior left ILA, non‑springing sacrum and L5 nonneutral (F Rr Sr) are classic for an R on L backward torsion.",False,False,True
874,a,"A 27-year-old male with an unknown medical history is brought to the emergency department in a state of acute intoxication. He was found unconscious in a park, covered in vomit and urine. His vital sign include a temperature of 99.0°F (37.2°C), blood pressure of 107/68 mm Hg, pulse of 120/min, respiratory rate of 13/min, and oxygen saturation of 95% on room air. Physical examination reveals wheezing in all lung fields without crackles. The patient is started on 2L/min nasal cannula oxygen and intravenous fluids. Laboratory results show an AST of 200 U/L and an ALT of 100 U/L. A chest radiograph is unremarkable. What is the most likely cause of this patient’s pulmonary symptom?",Environmental antigen,"Conclusion: The wheezing is most likely from aspiration of gastric contents causing chemical pneumonitis with bronchospasm.

Reasoning: He was intoxicated and found unconscious with vomit — high aspiration risk. Inhalation of acidic gastric contents produces acute airway chemical injury and bronchospasm (wheezing) often before radiographic infiltrates or crackles develop. An environmental antigen is unlikely given the clinical context.",False,False,True
874,b,"A 27-year-old male with an unknown medical history is brought to the emergency department in a state of acute intoxication. He was found unconscious in a park, covered in vomit and urine. His vital sign include a temperature of 99.0°F (37.2°C), blood pressure of 107/68 mm Hg, pulse of 120/min, respiratory rate of 13/min, and oxygen saturation of 95% on room air. Physical examination reveals wheezing in all lung fields without crackles. The patient is started on 2L/min nasal cannula oxygen and intravenous fluids. Laboratory results show an AST of 200 U/L and an ALT of 100 U/L. A chest radiograph is unremarkable. What is the most likely cause of this patient’s pulmonary symptom?",Environmental antigen,"Conclusion: The wheezing is most likely due to aspiration-induced bronchospasm from inhalation of vomitus (aspiration/airway chemical injury), not an acute bacterial aspiration pneumonia.

Reasoning: he was found unconscious and covered in vomit → high risk for aspiration of gastric contents. Acidic/particulate aspiration irritates airways and produces acute bronchospasm and wheeze; chest x‑ray can be normal early. Infectious aspiration pneumonia (anaerobes) develops later with focal consolidation and systemic signs, so “chemical pneumonitis” as an infectious process is the wrong distinction — the immediate problem here is airway irritation/bronchospasm from aspiration.",False,False,True
874,c,"A 27-year-old male with an unknown medical history is brought to the emergency department in a state of acute intoxication. He was found unconscious in a park, covered in vomit and urine. His vital sign include a temperature of 99.0°F (37.2°C), blood pressure of 107/68 mm Hg, pulse of 120/min, respiratory rate of 13/min, and oxygen saturation of 95% on room air. Physical examination reveals wheezing in all lung fields without crackles. The patient is started on 2L/min nasal cannula oxygen and intravenous fluids. Laboratory results show an AST of 200 U/L and an ALT of 100 U/L. A chest radiograph is unremarkable. What is the most likely cause of this patient’s pulmonary symptom?",Environmental antigen,"Most likely cause: aspiration of gastric contents causing chemical pneumonitis with airway bronchospasm.

Reasoning: He was found unconscious and covered in vomit (high aspiration risk). Aspiration of acidic gastric contents produces acute chemical injury/inflammation of the airways that commonly causes diffuse wheeze/bronchospasm; chest x‑ray can be normal early. The AST>ALT and intoxicated state support alcohol/overdose-related loss of airway protection and aspiration.",False,False,True
874,d,"A 27-year-old male with an unknown medical history is brought to the emergency department in a state of acute intoxication. He was found unconscious in a park, covered in vomit and urine. His vital sign include a temperature of 99.0°F (37.2°C), blood pressure of 107/68 mm Hg, pulse of 120/min, respiratory rate of 13/min, and oxygen saturation of 95% on room air. Physical examination reveals wheezing in all lung fields without crackles. The patient is started on 2L/min nasal cannula oxygen and intravenous fluids. Laboratory results show an AST of 200 U/L and an ALT of 100 U/L. A chest radiograph is unremarkable. What is the most likely cause of this patient’s pulmonary symptom?",Environmental antigen,"No — the most likely cause is chemical (aspiration) pneumonitis from inhaled gastric contents.

Reasoning: he was found unconscious and covered in vomit (high risk for aspiration), with acute diffuse wheezing (bronchospasm/airway irritation) and an initially normal chest x‑ray (radiographs can be normal early after aspiration). The AST/ALT pattern and intoxication history point to alcohol use rather than chronic environmental antigen exposure. Hypersensitivity (environmental antigen) pneumonitis is typically subacute/chronic after repeated exposures and causes interstitial findings, not this acute post‑vomiting presentation.",False,False,True
874,default,"A 27-year-old male with an unknown medical history is brought to the emergency department in a state of acute intoxication. He was found unconscious in a park, covered in vomit and urine. His vital sign include a temperature of 99.0°F (37.2°C), blood pressure of 107/68 mm Hg, pulse of 120/min, respiratory rate of 13/min, and oxygen saturation of 95% on room air. Physical examination reveals wheezing in all lung fields without crackles. The patient is started on 2L/min nasal cannula oxygen and intravenous fluids. Laboratory results show an AST of 200 U/L and an ALT of 100 U/L. A chest radiograph is unremarkable. What is the most likely cause of this patient’s pulmonary symptom?",Environmental antigen,"Aspiration of gastric contents (vomit) causing chemical pneumonitis with diffuse bronchospasm. Unconscious intoxicated patients commonly aspirate acidic vomitus, which injures the airways and produces wheeze even with a normal initial chest x‑ray.",False,False,True
