index,choice,question,truth,response,judge_label,dataset_label,match
162,default,"A 29-year-old primigravida at 33 weeks' gestation presents for a routine prenatal visit. She has well-controlled systemic lupus erythematosus with no flares during pregnancy. Her medication include iron, vitamin supplements, and hydroxychloroquine. She denies substance use. Her vital sign are stable with temperature 37.2°C (98.9°F), pulse 70/min, respirations 17/min, and blood pressure 134/70 mm Hg. Physical examination is unremarkable. Fetal assessment reveals: - Ultrasonography shows: - One rhythmic breathing episode >30 seconds in a 1-hour period - One distinct body movement and one extremity extension within 30 minutes - Deepest vertical pocket of amniotic fluid measures 2.5 cm - Nonstress test shows one heart rate acceleration with movement over 30 minutes What is the most appropriate next step in management?",Administer corticosteroids and induce labor,"This testing yields a biophysical profile of 4/10 (nonreactive NST 0, breathing and movements 0, tone 2, AF pocket 2) — an abnormal result indicating fetal compromise. The most appropriate step is expeditious delivery (prepare for immediate delivery and manage as preterm, including antenatal corticosteroids if there is time and magnesium for neuroprotection if indicated).",False,True,False
15,default,"A 15-year-old male presents with a persistent sensation of ""a funny feeling in my head"" following a fall during a skateboarding competition. He denies any other symptom and reports a negative neurological workup both immediately after the accident and several weeks later. On physical examination, there is no acute distress, no head lacerations or abrasions, and no evidence of skull fractures. Neurological examination reveals intact cranial nerves II-XII. Osteopathic structural examination identifies the greater wings of the sphenoid as deviated caudad, giving them a posterior feel. What is the most likely diagnosis for this patient?",Superior vertical strain,Most likely an osteopathic cranial strain — specifically an inferior vertical (spheno‑occipital) strain of the sphenoid (a cranial strain pattern commonly seen after mild head trauma/concussion).,False,False,True
838,default,"A 37-year-old male arrives at the emergency department following a 3-car collision while riding his motorcycle. On examination, he responds only to painful stimuli, and his pupils are non-reactive to light. His upper extremities exhibit involuntary flexion with clenched fists. Vital sign include a temperature of 36.1°C (97.0°F), blood pressure of 80/60 mm Hg, and a pulse of 102/min. A non-contrast CT scan of the head reveals a massive intracerebral hemorrhage with a midline shift. Arterial blood gas analysis shows a PaCO2 of 68 mm Hg, and the patient is placed on mechanical ventilation. His condition deteriorates further, and death by neurologic criteria is suspected. Which studies can be used to confirm death by neurologic criteria and allow for legal removal from the ventilator?",Repeat CT scan,"Diagnosis of brain death is primarily clinical (coma with absent brainstem reflexes and a positive apnea test). When the clinical exam or apnea test cannot be completed or when confirmation is required, accepted ancillary studies include:

- Electroencephalography (EEG) demonstrating electrocerebral silence
- Demonstration of absent intracranial blood flow by:
  - Formal cerebral angiography
  - Radionuclide cerebral blood flow scan (eg, Tc‑99m HMPAO perfusion scan)
  - Transcranial Doppler showing absent/reverberating flow

Any of these (in accordance with institutional/state protocols) can be used to confirm death by neurologic criteria and permit legal removal from the ventilator.",False,False,True
631,default,"A young boy aged 6 is evaluated by a physician due to academic difficulties lasting one year. His history reveals early speech problems, sensory sensitivities (refusing to wear shoes), repetitive hand movements, and heightened sound sensitivity. According to his teacher, he plays in isolation, arranging toy trucks in lines. His medical record notes functional constipation treated with polyethylene glycol as needed. Growth parameters show height at 60th percentile, weight at 55th percentile, and head circumference at 88th percentile. During examination, he shows some ability to engage with objects the physician indicates but uses gestures rather than speech and avoids direct verbal responses. Both hearing and vision are normal. Which of these clinical features is the strongest predictor of an unfavorable prognosis?",Speech impairment,"Persistent significant language impairment (using gestures instead of spoken language / lack of functional speech) is the strongest predictor of an unfavorable prognosis. Language level (and coexisting intellectual disability) predicts long‑term outcome more than sensory issues, repetitive behaviors, constipation, or macrocephaly.",False,True,False
854,default,"A 16-year-old female presents with her mother for evaluation of a 3-month history of abdominal cramping, fatigue, and polyuria. She has no significant past medical history and takes only a daily multivitamin. Her family history is notable for type 2 diabetes in her mother and polycystic ovary syndrome in her maternal aunt. She is an excellent student and actively participates in school sports. She reports primary amenorrhea. Physical examination reveals: height 150 cm, weight 50 kg, BMI 22 kg/m2, normal vital sign, a grade 2/6 early systolic murmur that increases with inspiration best heard over the pulmonic area, diffuse abdominal tenderness, and Tanner stage 5 breast and pubic hair development. What is the most appropriate initial diagnostic test?",Serum β-hCG,A urine pregnancy test (urine β-hCG). Rule out pregnancy as the initial test in any adolescent with amenorrhea and abdominal symptoms.,False,False,True
333,default,"A 58-year-old man is admitted to the emergency department due to a 2-day history of confusion and lack of urine output. His medical history includes chronic kidney disease, hypertension, type 2 diabetes mellitus, HIV infection, and active hepatitis C virus infection. He was treated for acute lymphoblastic leukemia at age 8 with allogeneic stem cell transplantation. He consumes approximately eight cans of beer per week. Current medication include tenofovir, emtricitabine, atazanavir, daclatasvir, sofosbuvir, insulin, amlodipine, and enalapril. On examination, he is lethargic, with a temperature of 36.0°C (96.8°F), pulse of 130/min, respirations of 26/min, and blood pressure of 145/90 mm Hg. Severe bilateral leg edema and generalized muscle weakness are noted, and lung auscultation reveals crepitant rales. Laboratory studies show a positive HCV antibody and RNA, undetectable HIV viral load, and a CD4+ T-cell count of 589/mm³ (previously 618/mm³ six months ago). ECG reveals arrhythmia with frequent premature ventricular contractions. Arterial blood gas analysis on room air shows: | pH | 7.23 | | --- | --- | | PCO2 | 31 mm Hg | | HCO3- | 13 mEq/L | | Base excess | -12 mEq/L | The patient expresses his wish to donate organs or tissues in the event of death. Which represents an absolute contraindication to organ donation in this patient?",No absolute contraindications,"Active HIV infection (HIV seropositivity) is an absolute contraindication to organ donation by standard criteria, because of the risk of transmitting a systemic viral infection. (Note: there are limited, regulated exceptions—eg, HIV-positive donors to HIV-positive recipients under the US HOPE Act—but HIV remains a standard absolute contraindication.)",False,False,True
332,default,"A 52-year-old man seeks medical attention for acute neck pain that began 3 days ago following a weekend of sailing that involved repetitive movements and upward neck extension. He describes the pain as sharp, constant, and non-radiating, rating it 8/10 in severity. He reports no upper extremity numbness, tingling, or weakness, though he expresses concern about having a ""slipped disc"" like his brother. His vital sign show: | Temperature | 37°C (98.6°F) | | --- | --- | | Blood pressure | 134/86 mm Hg | | Heart rate | 72/min | | Respiratory rate | 12/min | | Height | 175 cm (5 ft 9 in) | | Weight | 78 kg (172 lb) | Neurological examination is normal. The structural examination reveals a tender and prominent right posterior articular pillar at C5 that becomes more pronounced with flexion. Where is the most likely location of this patient's associated tender point?",Inferolateral to the spinous process of C4,"Over the right C5–C6 zygapophyseal (facet) region — i.e., just lateral to the C5 spinous process over the right posterior articular pillar (right paraspinal area at the C5 level).",False,False,True
290,default,"A 51-year-old female patient seeks medical attention for excessive daytime drowsiness and oral dryness over the past month. Her sleep is disrupted by frequent nocturnal urination, and she reports increased thirst, consuming up to 20 cups of water daily. She denies urgency or painful urination. Her medical history includes recurrent urinary tract infection, a head injury from a suicide attempt three months ago, bipolar I disorder, and hypertension. She has a 25-year smoking history of one pack per day. Physical examination reveals poor skin turgor, dry mucous membranes, and bilateral expiratory wheezes. There is no suprapubic tenderness. Her mood appears appropriate, though bilateral hand tremors are noted. Laboratory finding show serum sodium of 151 mEq/L, elevated antidiuretic hormone, and urine osmolality of 124 mOsm/kg H2O. What is the most probable cause of her clinical presentation?",Mood stabilizer intake,"Nephrogenic diabetes insipidus due to chronic lithium therapy for her bipolar disorder.  

Reason: hypernatremia with low urine osmolality despite elevated ADH indicates renal resistance to ADH. Her bipolar history and bilateral tremor are typical of lithium use, and lithium disrupts aquaporin-2 expression/signaling in collecting duct principal cells.",False,False,True
560,default,"A 41-year-old man presents to the emergency department with fatigue, worsening abdominal discomfort, and progressive leg swelling over the past 3 months. He notes that the swelling is more pronounced in the evenings. His only medication is ibuprofen for occasional joint pain. He does not smoke and consumes 2–3 beers on weekends. Vital sign include a temperature of 36.0°C (96.8°F), pulse of 88/min, respirations of 18/min, and blood pressure of 130/80 mm Hg. Pulmonary examination reveals no abnormalities. Abdominal examination shows mild distension with shifting dullness, and the liver is palpable 2–3 cm below the right costal margin. Applying pressure to the right upper quadrant cause visible jugular vein distension lasting 15 seconds. The 2nd and 3rd metacarpophalangeal joints of both hands are tender to palpation. There is 2+ edema in the lower extremities. What is the most likely underlying cause of this patient's edema?",Impaired relaxation of the right ventricle,"Iron deposition in the myocardium from hereditary hemochromatosis → restrictive/dilated cardiomyopathy with right‑sided heart failure, raising systemic venous hydrostatic pressure and causing ascites and dependent (pitting) edema.",False,False,True
916,default,"A 63-year-old female patient seeks medical attention due to recent changes in her voice and swallowing difficulties. She discovered an anterior neck mass through self-examination yesterday. She denies symptom of anorexia, painful swallowing, weight reduction, or breathing problems. Her medical history is unremarkable. Her vital sign show a temperature of 37°C (98.7°F), heart rate of 73/min, and blood pressure of 118/73 mmHg. On physical examination, a solitary, immobile mass is palpated in the anterior neck region. Which finding would be most indicative of a malignant process in this case?",Normal thyroid stimulating hormone (TSH) level,Unilateral vocal cord paralysis (new persistent hoarseness) from recurrent laryngeal nerve involvement — this indicates local invasion by the thyroid lesion and is highly suggestive of malignancy.,False,False,True
