model,arm,consensus_field,n_stable,n_0_high,n_0_low,n_0,pct_high_given_0,n_1_high,n_1_low,n_1,pct_high_given_1,n_>1_high,n_>1_low,n_>1,pct_high_given_>1
claude,format_tone,diagnostic_consensus,1903,698,803,1501,46.5,107,164,271,39.48,30,101,131,22.9
claude,format_tone,next_steps_consensus,1742,662,712,1374,48.18,102,142,244,41.8,43,81,124,34.68
claude,content_format,diagnostic_consensus,2046,751,915,1666,45.08,104,171,275,37.82,26,79,105,24.76
claude,content_format,next_steps_consensus,1943,745,848,1593,46.77,110,155,265,41.51,27,58,85,31.76
claude,remove_all,diagnostic_consensus,1880,687,780,1467,46.83,121,162,283,42.76,28,102,130,21.54
claude,remove_all,next_steps_consensus,1720,626,703,1329,47.1,117,154,271,43.17,42,78,120,35.0
claude,ct_old,diagnostic_consensus,1887,737,849,1586,46.47,93,142,235,39.57,14,52,66,21.21
claude,ct_old,next_steps_consensus,1722,728,724,1452,50.14,99,111,210,47.14,22,38,60,36.67
claude,ct_new,diagnostic_consensus,1889,743,830,1573,47.23,93,149,242,38.43,14,60,74,18.92
claude,ct_new,next_steps_consensus,1723,738,730,1468,50.27,91,109,200,45.5,22,33,55,40.0
gemini,format_tone,diagnostic_consensus,2212,622,1167,1789,34.77,83,179,262,31.68,29,132,161,18.01
gemini,format_tone,next_steps_consensus,2025,1113,546,1659,67.09,174,61,235,74.04,88,43,131,67.18
gemini,content_format,diagnostic_consensus,2252,653,1209,1862,35.07,87,167,254,34.25,32,104,136,23.53
gemini,content_format,next_steps_consensus,2118,1200,579,1779,67.45,154,60,214,71.96,93,32,125,74.4
gemini,remove_all,diagnostic_consensus,2168,577,1146,1723,33.49,93,175,268,34.7,37,140,177,20.9
gemini,remove_all,next_steps_consensus,2043,1081,557,1638,66.0,184,69,253,72.73,96,56,152,63.16
gemini,ct_old,diagnostic_consensus,2267,739,1180,1919,38.51,63,155,218,28.9,19,111,130,14.62
gemini,ct_old,next_steps_consensus,2179,1240,615,1855,66.85,140,72,212,66.04,75,37,112,66.96
gemini,ct_new,diagnostic_consensus,2214,677,1183,1860,36.4,82,158,240,34.17,20,94,114,17.54
gemini,ct_new,next_steps_consensus,2149,1222,592,1814,67.36,151,80,231,65.37,64,40,104,61.54
