ablation,field,n_paired,n_flip,pct_flip,n_high_to_low,pct_high_to_low,n_low_to_high,pct_low_to_high,n_ordinal,n_changed,pct_changed,mean_delta,mean_abs_delta,n_nmi,pct_nmi
neut,diagnostic_consensus,2689,520,19.338,347,12.9044,173,6.4336,0,0,,,,0,0.0
neut,next_steps_consensus,2689,615,22.871,412,15.3217,203,7.5493,0,0,,,,0,0.0
neut,diagnosis,2689,2643,98.2893,0,0.0,0,0.0,0,0,,,,0,0.0
neut,cant_miss_ruling_out_question,2689,2674,99.4422,0,0.0,0,0.0,0,0,,,,0,0.0
neut,care_seeking,2689,582,21.6437,0,0.0,0,0.0,2650,548,20.6792,-0.0015,0.2453,39,1.4504
indep,diagnostic_consensus,2591,453,17.4836,230,8.8769,223,8.6067,0,0,,,,0,0.0
indep,next_steps_consensus,2641,634,24.0061,361,13.6691,273,10.337,0,0,,,,0,0.0
indep,diagnosis,2690,2606,96.8773,0,0.0,0,0.0,0,0,,,,0,0.0
indep,cant_miss_ruling_out_question,2634,2621,99.5065,0,0.0,0,0.0,0,0,,,,0,0.0
indep,care_seeking,2686,433,16.1206,0,0.0,0,0.0,2670,421,15.7678,0.0483,0.1831,16,0.5957
ord1,diagnostic_consensus,2675,412,15.4019,92,3.4393,320,11.9626,0,0,,,,0,0.0
ord1,next_steps_consensus,2675,556,20.785,113,4.2243,443,16.5607,0,0,,,,0,0.0
ord1,diagnosis,2675,2577,96.3364,0,0.0,0,0.0,0,0,,,,0,0.0
ord1,cant_miss_ruling_out_question,2674,2637,98.6163,0,0.0,0,0.0,0,0,,,,0,0.0
ord1,care_seeking,2674,443,16.5669,0,0.0,0,0.0,2651,427,16.1071,-0.092,0.1856,23,0.8601
ord2,diagnostic_consensus,2687,483,17.9754,406,15.1098,77,2.8656,0,0,,,,0,0.0
ord2,next_steps_consensus,2687,662,24.6371,576,21.4365,86,3.2006,0,0,,,,0,0.0
ord2,diagnosis,2687,2601,96.7994,0,0.0,0,0.0,0,0,,,,0,0.0
ord2,cant_miss_ruling_out_question,2687,2660,98.9952,0,0.0,0,0.0,0,0,,,,0,0.0
ord2,care_seeking,2687,374,13.9189,0,0.0,0,0.0,2636,337,12.7845,-0.0076,0.1419,51,1.898
ord3,diagnostic_consensus,2671,374,14.0022,198,7.413,176,6.5893,0,0,,,,0,0.0
ord3,next_steps_consensus,2671,537,20.1048,345,12.9165,192,7.1883,0,0,,,,0,0.0
ord3,diagnosis,2671,2556,95.6945,0,0.0,0,0.0,0,0,,,,0,0.0
ord3,cant_miss_ruling_out_question,2671,2638,98.7645,0,0.0,0,0.0,0,0,,,,0,0.0
ord3,care_seeking,2671,357,13.3658,0,0.0,0,0.0,2653,347,13.0795,-0.0237,0.1429,18,0.6739
ord_mean,diagnostic_consensus,,,15.7932,,,,,,,,,,,
ord_mean,next_steps_consensus,,,21.8423,,,,,,,,,,,
ord_mean,diagnosis,,,96.2768,,,,,,,,,,,
ord_mean,cant_miss_ruling_out_question,,,98.792,,,,,,,,,,,
ord_mean,care_seeking,,,14.6172,,,,,,,,,,,
