model,arm,sample_id,acuity_delta,acuity_abs_delta,acuity_dir,diag_dir,next_dir,consensus_flip,coherence
claude,format_tone,1,-1,1,down,low_to_high,stable,diag,multi_mixed
claude,format_tone,17,-2,2,down,high_to_low,high_to_low,diag+next,coherent_more_worried
claude,format_tone,33,1,1,up,low_to_high,stable,diag,coherent_less_worried
claude,format_tone,70,1,1,up,high_to_low,stable,diag,multi_mixed
claude,format_tone,108,-1,1,down,stable,low_to_high,next,multi_mixed
claude,format_tone,134,2,2,up,stable,high_to_low,next,multi_mixed
claude,format_tone,155,1,1,up,stable,high_to_low,next,multi_mixed
claude,format_tone,156,-1,1,down,high_to_low,high_to_low,diag+next,coherent_more_worried
claude,format_tone,165,-1,1,down,high_to_low,stable,diag,coherent_more_worried
claude,format_tone,168,1,1,up,stable,high_to_low,next,multi_mixed
claude,format_tone,183,1,1,up,high_to_low,high_to_low,diag+next,multi_mixed
claude,format_tone,191,-1,1,down,high_to_low,,diag,coherent_more_worried
claude,format_tone,206,-2,2,down,stable,high_to_low,next,coherent_more_worried
claude,format_tone,215,-1,1,down,stable,low_to_high,next,multi_mixed
claude,format_tone,224,1,1,up,stable,high_to_low,next,multi_mixed
claude,format_tone,233,-2,2,down,low_to_high,stable,diag,multi_mixed
claude,format_tone,249,-1,1,down,stable,high_to_low,next,coherent_more_worried
claude,format_tone,260,-2,2,down,high_to_low,high_to_low,diag+next,coherent_more_worried
claude,format_tone,261,-1,1,down,low_to_high,,diag,multi_mixed
claude,format_tone,288,-2,2,down,stable,low_to_high,next,multi_mixed
claude,format_tone,295,1,1,up,low_to_high,,diag,coherent_less_worried
claude,format_tone,297,-1,1,down,high_to_low,high_to_low,diag+next,coherent_more_worried
claude,format_tone,327,2,2,up,stable,high_to_low,next,multi_mixed
claude,format_tone,340,1,1,up,low_to_high,stable,diag,coherent_less_worried
claude,format_tone,355,3,3,up,high_to_low,high_to_low,diag+next,multi_mixed
claude,format_tone,359,2,2,up,stable,high_to_low,next,multi_mixed
claude,format_tone,413,-1,1,down,low_to_high,,diag,multi_mixed
claude,format_tone,418,2,2,up,,low_to_high,next,coherent_less_worried
claude,format_tone,427,-3,3,down,,high_to_low,next,coherent_more_worried
claude,format_tone,437,3,3,up,,high_to_low,next,multi_mixed
claude,format_tone,480,-2,2,down,stable,high_to_low,next,coherent_more_worried
claude,format_tone,484,1,1,up,stable,high_to_low,next,multi_mixed
claude,format_tone,485,-1,1,down,high_to_low,high_to_low,diag+next,coherent_more_worried
claude,format_tone,487,-3,3,down,low_to_high,low_to_high,diag+next,multi_mixed
claude,format_tone,488,-1,1,down,high_to_low,stable,diag,coherent_more_worried
claude,format_tone,493,1,1,up,high_to_low,stable,diag,multi_mixed
claude,format_tone,496,1,1,up,low_to_high,stable,diag,coherent_less_worried
claude,format_tone,502,3,3,up,stable,low_to_high,next,coherent_less_worried
claude,format_tone,503,-2,2,down,low_to_high,stable,diag,multi_mixed
claude,format_tone,516,-1,1,down,stable,low_to_high,next,multi_mixed
claude,format_tone,522,1,1,up,stable,low_to_high,next,coherent_less_worried
claude,format_tone,525,-1,1,down,high_to_low,stable,diag,coherent_more_worried
claude,format_tone,545,1,1,up,stable,high_to_low,next,multi_mixed
claude,format_tone,550,-1,1,down,stable,high_to_low,next,coherent_more_worried
claude,format_tone,571,1,1,up,high_to_low,high_to_low,diag+next,multi_mixed
claude,format_tone,612,-2,2,down,high_to_low,stable,diag,coherent_more_worried
claude,format_tone,619,-2,2,down,low_to_high,high_to_low,diag+next,multi_mixed
claude,format_tone,620,-2,2,down,low_to_high,stable,diag,multi_mixed
claude,format_tone,645,-2,2,down,stable,low_to_high,next,multi_mixed
claude,format_tone,658,1,1,up,stable,low_to_high,next,coherent_less_worried
claude,format_tone,667,-2,2,down,low_to_high,stable,diag,multi_mixed
claude,format_tone,685,-1,1,down,low_to_high,stable,diag,multi_mixed
claude,format_tone,713,2,2,up,high_to_low,stable,diag,multi_mixed
claude,format_tone,726,-1,1,down,stable,low_to_high,next,multi_mixed
claude,format_tone,731,1,1,up,low_to_high,stable,diag,coherent_less_worried
claude,format_tone,737,-2,2,down,low_to_high,low_to_high,diag+next,multi_mixed
claude,format_tone,773,1,1,up,stable,high_to_low,next,multi_mixed
claude,format_tone,777,-1,1,down,low_to_high,stable,diag,multi_mixed
claude,format_tone,784,-2,2,down,high_to_low,,diag,coherent_more_worried
