model,arm,protocol,group,n_group,n,mean_dH,mean_dC,mean_dBreadth,mean_dSupport,mean_H_abl,mean_C_abl,mean_H_raw,mean_C_raw
claude,remove_all,indep_dx,all_ordinal_acuity_pairs,2644,2621,-0.083,-0.02,-0.0636,-0.0114,0.471,0.1616,0.5538,0.1812
claude,remove_all,indep_dx,acuity_ge1_only,360,358,-0.1099,-0.0233,-0.0712,-0.0189,0.4451,0.17,0.5528,0.1932
claude,remove_all,indep_dx,acuity+consensus,235,235,-0.1241,-0.0717,-0.0974,-0.0278,0.434,0.1819,0.5582,0.2536
claude,remove_all,indep_dx,coherent_more_worried,81,81,-0.1029,-0.0288,-0.057,-0.0226,0.4691,0.1481,0.572,0.177
claude,remove_all,indep_dx,coherent_less_worried,47,47,-0.0284,-0.1136,-0.1167,-0.0138,0.4787,0.1705,0.5071,0.2841
claude,remove_all,indep_dx,multi_mixed,107,107,-0.1822,-0.0873,-0.1195,-0.0378,0.3879,0.2127,0.5701,0.3
claude,remove_all,legacy_freeform,all_ordinal_acuity_pairs,2644,2642,-0.0227,0.1072,0.097,-0.0041,0.673,0.4049,0.6957,0.2977
claude,remove_all,legacy_freeform,acuity_ge1_only,360,360,-0.0569,0.1141,0.093,-0.0003,0.637,0.4271,0.694,0.313
claude,remove_all,legacy_freeform,acuity+consensus,235,235,-0.0234,0.0804,0.0941,-0.0033,0.666,0.4138,0.6894,0.3333
claude,remove_all,legacy_freeform,coherent_more_worried,81,81,-0.0123,0.1317,0.1706,0.0,0.6687,0.3889,0.6811,0.2572
claude,remove_all,legacy_freeform,coherent_less_worried,47,47,0.0638,0.0189,0.1065,-0.0043,0.7092,0.3636,0.6454,0.3447
claude,remove_all,legacy_freeform,multi_mixed,107,107,-0.0701,0.0667,0.0308,-0.0055,0.6449,0.454,0.715,0.3873
claude,ct_old,indep_dx,all_ordinal_acuity_pairs,2664,2644,-0.0229,-0.0055,-0.0034,-0.0015,0.5295,0.1763,0.5532,0.1814
claude,ct_old,indep_dx,acuity_ge1_only,298,297,-0.0432,0.0098,0.0177,-0.0022,0.5034,0.2075,0.5481,0.1982
claude,ct_old,indep_dx,acuity+consensus,147,146,-0.0662,-0.0352,-0.0172,-0.007,0.4671,0.1935,0.5365,0.2265
claude,ct_old,indep_dx,coherent_more_worried,46,46,-0.0435,-0.0265,-0.0114,-0.0109,0.5072,0.1477,0.5507,0.1742
claude,ct_old,indep_dx,coherent_less_worried,25,24,-0.0972,-0.0507,-0.0431,0.0139,0.4333,0.1111,0.5486,0.1449
claude,ct_old,indep_dx,multi_mixed,76,76,-0.0702,-0.0356,-0.0126,-0.0113,0.4539,0.2467,0.5241,0.2822
claude,ct_new,indep_dx,all_ordinal_acuity_pairs,2656,2638,-0.0223,0.0038,0.0025,-0.0008,0.53,0.1844,0.5533,0.1813
claude,ct_new,indep_dx,acuity_ge1_only,296,293,-0.0506,0.0023,0.0052,-0.0033,0.4932,0.2022,0.5475,0.2043
claude,ct_new,indep_dx,acuity+consensus,133,133,-0.0075,0.0116,0.0197,-0.0004,0.5363,0.239,0.5439,0.2274
claude,ct_new,indep_dx,coherent_more_worried,37,37,-0.018,0.0463,0.0162,0.0039,0.6351,0.1806,0.6532,0.1343
claude,ct_new,indep_dx,coherent_less_worried,25,25,0.0333,0.0145,0.0643,0.0,0.5667,0.1522,0.5333,0.1377
claude,ct_new,indep_dx,multi_mixed,71,71,-0.0164,-0.0071,0.0058,-0.0027,0.4742,0.2976,0.4906,0.3048
gemini,remove_all,legacy_freeform,all_ordinal_acuity_pairs,2656,2635,-0.1288,-0.0509,-0.1552,-0.0055,0.5839,0.3055,0.7125,0.3568
gemini,remove_all,legacy_freeform,acuity_ge1_only,349,345,-0.1256,-0.0445,-0.1457,-0.0052,0.5879,0.3195,0.7131,0.3632
gemini,remove_all,legacy_freeform,acuity+consensus,179,178,-0.161,-0.0048,-0.174,-0.0059,0.5609,0.3246,0.7216,0.3333
gemini,remove_all,legacy_freeform,coherent_more_worried,61,61,-0.2077,0.0444,-0.1485,-0.0143,0.5383,0.3056,0.7459,0.2611
gemini,remove_all,legacy_freeform,coherent_less_worried,21,21,-0.1746,-0.0159,-0.1919,0.0,0.5397,0.4206,0.7143,0.4365
gemini,remove_all,legacy_freeform,multi_mixed,97,96,-0.1285,-0.0348,-0.1862,-0.0017,0.5799,0.315,0.7079,0.3569
