model,track,core,arm,n_arm,n_core,n_in_core,n_unique_outside_core,pct_arm_in_core,pct_core_covered,jaccard_vs_core,n_high_to_low,n_low_to_high,pct_high_to_low_among_directed,direction_purity,net_more_worried,n_acuity_down,n_acuity_up,n_same_day_to_ed,n_ed_to_same_day,pct_down_among_directed,acuity_purity,net_more_acute
claude,diagnostic_consensus,ra_ft,format_tone,571,376,376,195,65.85,100.0,0.6585,226,150,60.11,0.2021,76,,,,,,,
claude,diagnostic_consensus,ra_ft,content_format,465,376,212,253,45.59,56.38,0.337,143,69,67.45,0.3491,74,,,,,,,
claude,diagnostic_consensus,ra_ft,remove_all,591,376,376,215,63.62,100.0,0.6362,226,150,60.11,0.2021,76,,,,,,,
claude,diagnostic_consensus,ra_ft,ct_old,441,376,209,232,47.39,55.59,0.3438,135,74,64.59,0.2919,61,,,,,,,
claude,diagnostic_consensus,ra_ft,ct_new,449,376,211,238,46.99,56.12,0.3436,134,77,63.51,0.2701,57,,,,,,,
claude,diagnostic_consensus,paper_ge2,format_tone,571,512,447,124,78.28,87.3,0.7028,271,176,60.63,0.2125,95,,,,,,,
claude,diagnostic_consensus,paper_ge2,content_format,465,512,348,117,74.84,67.97,0.5533,226,122,64.94,0.2989,104,,,,,,,
claude,diagnostic_consensus,paper_ge2,remove_all,591,512,441,150,74.62,86.13,0.6662,264,177,59.86,0.1973,87,,,,,,,
claude,diagnostic_consensus,paper_ge2,ct_old,441,512,265,176,60.09,51.76,0.3852,176,89,66.42,0.3283,87,,,,,,,
claude,diagnostic_consensus,paper_ge2,ct_new,449,512,267,182,59.47,52.15,0.3847,174,93,65.17,0.3034,81,,,,,,,
claude,diagnostic_consensus,paper_ge3,format_tone,571,212,212,359,37.13,100.0,0.3713,143,69,67.45,0.3491,74,,,,,,,
claude,diagnostic_consensus,paper_ge3,content_format,465,212,212,253,45.59,100.0,0.4559,143,69,67.45,0.3491,74,,,,,,,
claude,diagnostic_consensus,paper_ge3,remove_all,591,212,212,379,35.87,100.0,0.3587,143,69,67.45,0.3491,74,,,,,,,
claude,diagnostic_consensus,paper_ge3,ct_old,441,212,136,305,30.84,64.15,0.2631,92,44,67.65,0.3529,48,,,,,,,
claude,diagnostic_consensus,paper_ge3,ct_new,449,212,145,304,32.29,68.4,0.281,99,46,68.28,0.3655,53,,,,,,,
claude,diagnostic_consensus,all_ge3,format_tone,571,426,363,208,63.57,85.21,0.5726,240,123,66.12,0.3223,117,,,,,,,
claude,diagnostic_consensus,all_ge3,content_format,465,426,301,164,64.73,70.66,0.5102,205,96,68.11,0.3621,109,,,,,,,
claude,diagnostic_consensus,all_ge3,remove_all,591,426,351,240,59.39,82.39,0.527,224,127,63.82,0.2764,97,,,,,,,
claude,diagnostic_consensus,all_ge3,ct_old,441,426,314,127,71.2,73.71,0.5678,206,108,65.61,0.3121,98,,,,,,,
claude,diagnostic_consensus,all_ge3,ct_new,449,426,316,133,70.38,74.18,0.5653,204,112,64.56,0.2911,92,,,,,,,
claude,acuity_gt1,ra_ft,format_tone,198,140,140,58,70.71,100.0,0.7071,,,,,,108,32,94,23,77.14,0.5429,76
claude,acuity_gt1,ra_ft,content_format,128,140,68,60,53.12,48.57,0.34,,,,,,56,12,50,12,82.35,0.6471,44
claude,acuity_gt1,ra_ft,remove_all,205,140,140,65,68.29,100.0,0.6829,,,,,,108,32,93,28,77.14,0.5429,76
claude,acuity_gt1,ra_ft,ct_old,97,140,60,37,61.86,42.86,0.339,,,,,,45,15,40,14,75.0,0.5,30
claude,acuity_gt1,ra_ft,ct_new,101,140,63,38,62.38,45.0,0.3539,,,,,,45,18,41,18,71.43,0.4286,27
claude,acuity_gt1,paper_ge2,format_tone,198,166,155,43,78.28,93.37,0.7416,,,,,,123,32,109,23,79.35,0.5871,91
claude,acuity_gt1,paper_ge2,content_format,128,166,94,34,73.44,56.63,0.47,,,,,,81,13,75,12,86.17,0.7234,68
claude,acuity_gt1,paper_ge2,remove_all,205,166,151,54,73.66,90.96,0.6864,,,,,,118,33,103,28,78.15,0.5629,85
claude,acuity_gt1,paper_ge2,ct_old,97,166,63,34,64.95,37.95,0.315,,,,,,48,15,43,14,76.19,0.5238,33
claude,acuity_gt1,paper_ge2,ct_new,101,166,70,31,69.31,42.17,0.3553,,,,,,51,19,47,18,72.86,0.4571,32
claude,acuity_gt1,paper_ge3,format_tone,198,68,68,130,34.34,100.0,0.3434,,,,,,56,12,50,11,82.35,0.6471,44
claude,acuity_gt1,paper_ge3,content_format,128,68,68,60,53.12,100.0,0.5312,,,,,,56,12,50,12,82.35,0.6471,44
claude,acuity_gt1,paper_ge3,remove_all,205,68,68,137,33.17,100.0,0.3317,,,,,,56,12,50,11,82.35,0.6471,44
claude,acuity_gt1,paper_ge3,ct_old,97,68,35,62,36.08,51.47,0.2692,,,,,,28,7,25,6,80.0,0.6,21
