model,track,core,arm,n_arm,n_core,n_in_core,n_unique_outside_core,pct_arm_in_core,pct_core_covered,jaccard_vs_core,n_high_to_low,n_low_to_high,pct_high_to_low_among_directed,direction_purity,net_more_worried,n_acuity_down,n_acuity_up,n_same_day_to_ed,n_ed_to_same_day,pct_down_among_directed,acuity_purity,net_more_acute
gemini,diagnostic_consensus,ra_ft,format_tone,408,270,270,138,66.18,100.0,0.6618,226,44,83.7,0.6741,182,,,,,,,
gemini,diagnostic_consensus,ra_ft,content_format,375,270,179,196,47.73,66.3,0.3841,158,21,88.27,0.7654,137,,,,,,,
gemini,diagnostic_consensus,ra_ft,remove_all,423,270,270,153,63.83,100.0,0.6383,226,44,83.7,0.6741,182,,,,,,,
gemini,diagnostic_consensus,ra_ft,ct_old,290,270,148,142,51.03,54.81,0.3592,126,22,85.14,0.7027,104,,,,,,,
gemini,diagnostic_consensus,ra_ft,ct_new,318,270,153,165,48.11,56.67,0.3517,135,18,88.24,0.7647,117,,,,,,,
gemini,diagnostic_consensus,paper_ge2,format_tone,408,353,309,99,75.74,87.54,0.6836,259,50,83.82,0.6764,209,,,,,,,
gemini,diagnostic_consensus,paper_ge2,content_format,375,353,262,113,69.87,74.22,0.5622,223,39,85.11,0.7023,184,,,,,,,
gemini,diagnostic_consensus,paper_ge2,remove_all,423,353,314,109,74.23,88.95,0.6797,258,56,82.17,0.6433,202,,,,,,,
gemini,diagnostic_consensus,paper_ge2,ct_old,290,353,181,109,62.41,51.27,0.3918,154,27,85.08,0.7017,127,,,,,,,
gemini,diagnostic_consensus,paper_ge2,ct_new,318,353,190,128,59.75,53.82,0.395,163,27,85.79,0.7158,136,,,,,,,
gemini,diagnostic_consensus,paper_ge3,format_tone,408,179,179,229,43.87,100.0,0.4387,158,21,88.27,0.7654,137,,,,,,,
gemini,diagnostic_consensus,paper_ge3,content_format,375,179,179,196,47.73,100.0,0.4773,158,21,88.27,0.7654,137,,,,,,,
gemini,diagnostic_consensus,paper_ge3,remove_all,423,179,179,244,42.32,100.0,0.4232,158,21,88.27,0.7654,137,,,,,,,
gemini,diagnostic_consensus,paper_ge3,ct_old,290,179,111,179,38.28,62.01,0.3101,97,14,87.39,0.7477,83,,,,,,,
gemini,diagnostic_consensus,paper_ge3,ct_new,318,179,118,200,37.11,65.92,0.3113,107,11,90.68,0.8136,96,,,,,,,
gemini,diagnostic_consensus,all_ge3,format_tone,408,300,261,147,63.97,87.0,0.5839,219,42,83.91,0.6782,177,,,,,,,
gemini,diagnostic_consensus,all_ge3,content_format,375,300,237,138,63.2,79.0,0.5411,201,36,84.81,0.6962,165,,,,,,,
gemini,diagnostic_consensus,all_ge3,remove_all,423,300,253,170,59.81,84.33,0.5383,214,39,84.58,0.6917,175,,,,,,,
gemini,diagnostic_consensus,all_ge3,ct_old,290,300,209,81,72.07,69.67,0.5486,170,39,81.34,0.6268,131,,,,,,,
