sample_id,n_arms,arms,in_ra_ft,in_paper_ge2,in_paper_ge3,in_all_ge3,direction,delta,from_short,to_short,same_day_to_ed,interesting
4,2,ct_old|ct_new,0,0,0,0,up,2,ED,Same-day,0,0
17,1,format_tone,0,0,0,0,down,-2,Same-day,ED,1,1
72,1,remove_all,0,0,0,0,down,-2,Same-day,ED,1,1
73,3,format_tone|remove_all|ct_old,1,1,0,1,down,-2,Same-day,ED,1,1
76,1,remove_all,0,0,0,0,down,-2,Same-day,ED,1,1
86,2,format_tone|remove_all,1,1,0,0,down,-2,Same-day,ED,1,1
91,1,ct_old,0,0,0,0,up,2,ED,Same-day,0,0
113,2,ct_old|ct_new,0,0,0,0,down,-2,Non-urgent,UC,0,1
122,1,remove_all,0,0,0,0,down,-2,Same-day,ED,1,1
134,1,format_tone,0,0,0,0,up,2,ED,Same-day,0,0
135,2,content_format|ct_old,0,0,0,0,up,2,ED,Same-day,0,0
137,3,format_tone|remove_all|ct_old,1,1,0,1,down,-2,Same-day,ED,1,1
143,1,format_tone,0,0,0,0,down,-2,UC,911,0,1
151,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,down,-2,Same-day,ED,1,1
163,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,up,2,ED,Same-day,0,0
181,2,format_tone|content_format,0,1,0,0,down,-2,Same-day,ED,1,1
201,2,format_tone|remove_all,1,1,0,0,down,-2,Same-day,ED,1,1
206,4,format_tone|content_format|remove_all|ct_old,1,1,1,1,down,-2,Same-day,ED,1,1
208,1,format_tone,0,0,0,0,down,-2,Same-day,ED,1,1
213,4,format_tone|content_format|remove_all|ct_old,1,1,1,1,down,-2,Same-day,ED,1,1
233,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,down,-2,Same-day,ED,1,1
250,1,remove_all,0,0,0,0,up,2,ED,Same-day,0,0
260,3,format_tone|content_format|remove_all,1,1,1,1,down,-2,Same-day,ED,1,1
268,2,format_tone|remove_all,1,1,0,0,down,-2,Same-day,ED,1,1
271,3,content_format|ct_old|ct_new,0,0,0,1,up,2,ED,Same-day,0,0
273,2,format_tone|remove_all,1,1,0,0,down,-3,Non-urgent,ED,0,1
281,3,format_tone|remove_all|ct_old,1,1,0,1,up,2,ED,Same-day,0,0
288,1,format_tone,0,0,0,0,down,-2,Same-day,ED,1,1
293,2,content_format|remove_all,0,1,0,0,down,-2,Same-day,ED,1,1
296,2,ct_old|ct_new,0,0,0,0,up,2,ED,Same-day,0,0
298,2,content_format|remove_all,0,1,0,0,down,-2,Same-day,ED,1,1
327,2,format_tone|ct_old,0,0,0,0,up,2,ED,Same-day,0,0
328,2,format_tone|remove_all,1,1,0,0,down,-2,Same-day,ED,1,1
337,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,up,3,ED,Non-urgent,0,0
345,1,format_tone,0,0,0,0,down,-2,Same-day,ED,1,1
351,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,up,2,ED,Same-day,0,0
355,2,format_tone|remove_all,1,1,0,0,up,2,ED,Same-day,0,0
356,1,remove_all,0,0,0,0,down,-2,Same-day,ED,1,1
359,3,format_tone|content_format|remove_all,1,1,1,1,up,2,ED,Same-day,0,0
389,1,remove_all,0,0,0,0,down,-2,Same-day,ED,1,1
395,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,down,-3,Non-urgent,ED,0,1
417,2,remove_all|ct_new,0,0,0,0,up,2,ED,Same-day,0,0
