sample_id,n_arms,arms,in_ra_ft,in_paper_ge2,in_paper_ge3,in_all_ge3,direction,interesting,acuity_direction,same_day_to_ed,interesting_acuity,delta,from_short,to_short,interesting_diag
17,3,format_tone|remove_all|ct_old,1,1,0,1,high_to_low,1,down,1,1,,,,
24,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1,,,,,,,
42,4,format_tone|content_format|remove_all|ct_old,1,1,1,1,high_to_low,1,,,,,,,
45,3,format_tone|content_format|remove_all,1,1,1,1,high_to_low,1,,,,,,,
61,2,format_tone|remove_all,1,1,0,0,high_to_low,1,,,,,,,
73,3,format_tone|remove_all|ct_old,1,1,0,1,,1,,1,,-2,Same-day,ED,0
86,2,content_format|ct_new,0,0,0,0,low_to_high,0,down,1,1,,,,
97,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1,,,,,,,
98,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,high_to_low,1,,,,,,,
99,3,format_tone|remove_all|ct_old,1,1,0,1,high_to_low,1,,,,,,,
122,3,format_tone|content_format|remove_all,1,1,1,1,high_to_low,1,down,1,1,,,,
133,4,format_tone|content_format|remove_all|ct_old,1,1,1,1,high_to_low,1,,,,,,,
137,3,format_tone|remove_all|ct_old,1,1,0,1,,1,,1,,-2,Same-day,ED,0
138,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,high_to_low,1,,,,,,,
144,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1,,,,,,,
146,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1,,,,,,,
151,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,,1,,1,,-2,Same-day,ED,0
165,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,high_to_low,1,,,,,,,
172,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1,,,,,,,
183,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1,,,,,,,
201,2,format_tone|remove_all,1,1,0,0,,1,,1,,-2,Same-day,ED,0
206,4,format_tone|content_format|remove_all|ct_old,1,1,1,1,,1,,1,,-2,Same-day,ED,0
213,3,remove_all|ct_old|ct_new,0,0,0,1,high_to_low,1,down,1,1,,,,
223,3,format_tone|content_format|remove_all,1,1,1,1,high_to_low,1,,,,,,,
233,3,format_tone|content_format|ct_new,0,1,0,1,low_to_high,0,down,1,1,,,,
260,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,high_to_low,1,down,1,1,,,,
262,3,format_tone|remove_all|ct_old,1,1,0,1,high_to_low,1,,,,,,,
268,2,format_tone|remove_all,1,1,0,0,,1,,1,,-2,Same-day,ED,0
269,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,high_to_low,1,,,,,,,
279,3,format_tone|remove_all|ct_old,1,1,0,1,high_to_low,1,,,,,,,
283,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1,,,,,,,
290,2,format_tone|remove_all,1,1,0,0,high_to_low,1,,,,,,,
297,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1,,,,,,,
309,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,high_to_low,1,,,,,,,
328,2,format_tone|remove_all,1,1,0,0,,1,,1,,-2,Same-day,ED,0
333,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1,,,,,,,
335,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,high_to_low,1,,,,,,,
355,2,format_tone|remove_all,1,1,0,0,high_to_low,1,up,0,0,,,,
356,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,high_to_low,1,down,1,1,,,,
363,2,format_tone|remove_all,1,1,0,0,high_to_low,1,,,,,,,
368,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,high_to_low,1,,,,,,,
399,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1,,,,,,,
449,3,format_tone|remove_all|ct_new,1,1,0,1,,1,,1,,-2,Same-day,ED,0
450,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,high_to_low,1,,,,,,,
451,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,high_to_low,1,,,,,,,
462,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1,,,,,,,
468,3,format_tone|remove_all|ct_old,1,1,0,1,high_to_low,1,,,,,,,
480,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,,1,,1,,-2,Same-day,ED,0
485,3,format_tone|content_format|remove_all,1,1,1,1,high_to_low,1,,,,,,,
488,3,format_tone|remove_all|ct_new,1,1,0,1,high_to_low,1,,,,,,,
492,2,format_tone|remove_all,1,1,0,0,high_to_low,1,,,,,,,
493,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1,,,,,,,
504,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1,,,,,,,
506,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1,,,,,,,
515,4,format_tone|content_format|remove_all|ct_old,1,1,1,1,high_to_low,1,,,,,,,
525,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1,down,1,1,,,,
533,2,format_tone|remove_all,1,1,0,0,high_to_low,1,,,,,,,
534,4,format_tone|content_format|remove_all|ct_old,1,1,1,1,high_to_low,1,,,,,,,
535,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1,,,,,,,
540,2,format_tone|remove_all,1,1,0,0,,1,,1,,-2,Same-day,ED,0
