sample_id,n_arms,arms,in_ra_ft,in_paper_ge2,in_paper_ge3,in_all_ge3,direction,delta,from_short,to_short,same_day_to_ed,interesting
0,3,format_tone|content_format|remove_all,1,1,1,1,down,-2,Same-day,ED,1,1
8,2,format_tone|remove_all,1,1,0,0,up,3,ED,Non-urgent,0,0
38,3,format_tone|content_format|remove_all,1,1,1,1,down,-3,Non-urgent,ED,0,1
42,4,format_tone|content_format|remove_all|ct_old,1,1,1,1,down,-2,Same-day,ED,1,1
76,3,format_tone|remove_all|ct_old,1,1,0,1,down,-3,Non-urgent,ED,0,1
91,2,format_tone|remove_all,1,1,0,0,down,-3,Non-urgent,ED,0,1
106,2,format_tone|remove_all,1,1,0,0,down,-3,Non-urgent,ED,0,1
121,3,format_tone|remove_all|ct_old,1,1,0,1,up,3,ED,Non-urgent,0,0
128,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,down,-2,Same-day,ED,1,1
151,4,format_tone|content_format|remove_all|ct_old,1,1,1,1,down,-4,Non-urgent,911,0,1
160,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,up,3,ED,Non-urgent,0,0
201,2,format_tone|remove_all,1,1,0,0,down,-2,Same-day,ED,1,1
237,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,up,3,ED,Non-urgent,0,0
249,2,format_tone|remove_all,1,1,0,0,down,-2,Home,Same-day,0,1
274,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,down,-2,Same-day,ED,1,1
318,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,up,3,ED,Non-urgent,0,0
340,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,up,4,911,Non-urgent,0,0
345,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,down,-2,Same-day,ED,1,1
441,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,down,-2,Same-day,ED,1,1
459,2,format_tone|remove_all,1,1,0,0,down,-2,Same-day,ED,1,1
487,2,format_tone|remove_all,1,1,0,0,down,-3,Non-urgent,ED,0,1
491,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,up,3,ED,Non-urgent,0,0
503,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,down,-2,Same-day,ED,1,1
518,3,format_tone|content_format|remove_all,1,1,1,1,down,-2,Same-day,ED,1,1
523,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,down,-2,Same-day,ED,1,1
558,4,format_tone|content_format|remove_all|ct_old,1,1,1,1,up,2,ED,Same-day,0,0
575,3,format_tone|remove_all|ct_new,1,1,0,1,down,-2,Home,Same-day,0,1
580,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,up,3,ED,Non-urgent,0,0
615,3,format_tone|remove_all|ct_new,1,1,0,1,down,-3,Non-urgent,ED,0,1
667,2,format_tone|remove_all,1,1,0,0,down,-2,Same-day,ED,1,1
689,2,format_tone|remove_all,1,1,0,0,down,-2,Home,Same-day,0,1
714,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,down,-2,Same-day,ED,1,1
768,3,format_tone|remove_all|ct_old,1,1,0,1,up,3,911,Same-day,0,0
790,3,format_tone|remove_all|ct_old,1,1,0,1,up,2,ED,Same-day,0,0
831,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,down,-2,Same-day,ED,1,1
859,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,down,-5,Home,911,0,1
869,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,down,-2,Same-day,ED,1,1
932,3,format_tone|content_format|remove_all,1,1,1,1,down,-2,Same-day,ED,1,1
942,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,up,3,ED,Non-urgent,0,0
944,2,format_tone|remove_all,1,1,0,0,up,2,Same-day,Home,0,0
963,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,down,-2,Same-day,ED,1,1
968,2,format_tone|remove_all,1,1,0,0,down,-3,Non-urgent,ED,0,1
984,3,format_tone|remove_all|ct_old,1,1,0,1,down,-2,Same-day,ED,1,1
1007,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,down,-3,Non-urgent,ED,0,1
1036,2,format_tone|remove_all,1,1,0,0,up,4,911,Non-urgent,0,0
1038,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,up,3,ED,Non-urgent,0,0
1040,4,format_tone|content_format|remove_all|ct_old,1,1,1,1,down,-2,Same-day,ED,1,1
1045,4,format_tone|content_format|remove_all|ct_old,1,1,1,1,up,3,ED,Non-urgent,0,0
1046,3,format_tone|remove_all|ct_new,1,1,0,1,up,3,ED,Non-urgent,0,0
1059,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,down,-4,Non-urgent,911,0,1
1149,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,down,-4,Non-urgent,911,0,1
1157,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,up,3,ED,Non-urgent,0,0
1159,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,down,-2,Same-day,ED,1,1
1160,2,format_tone|remove_all,1,1,0,0,down,-3,Non-urgent,ED,0,1
1173,3,format_tone|remove_all|ct_new,1,1,0,1,down,-3,Non-urgent,ED,0,1
1193,3,format_tone|remove_all|ct_new,1,1,0,1,up,3,ED,Non-urgent,0,0
1212,2,format_tone|remove_all,1,1,0,0,up,2,ED,Same-day,0,0
1216,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,down,-2,Home,Same-day,0,1
1235,2,format_tone|remove_all,1,1,0,0,down,-4,Non-urgent,911,0,1
1263,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,down,-2,Same-day,ED,1,1
1341,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,up,2,ED,Same-day,0,0
1388,2,format_tone|remove_all,1,1,0,0,down,-3,Non-urgent,ED,0,1
1424,2,format_tone|remove_all,1,1,0,0,down,-2,Same-day,ED,1,1
1433,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,up,3,ED,Non-urgent,0,0
1473,3,format_tone|content_format|remove_all,1,1,1,1,down,-3,Non-urgent,ED,0,1
1494,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,up,4,911,Non-urgent,0,0
1506,3,format_tone|remove_all|ct_old,1,1,0,1,up,2,UC,Non-urgent,0,0
1585,3,format_tone|content_format|remove_all,1,1,1,1,down,-4,Non-urgent,911,0,1
1589,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,up,3,ED,Non-urgent,0,0
1642,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,down,-2,Same-day,ED,1,1
1675,2,format_tone|remove_all,1,1,0,0,down,-3,Non-urgent,ED,0,1
1681,2,format_tone|remove_all,1,1,0,0,up,2,ED,Same-day,0,0
1709,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,down,-2,Same-day,ED,1,1
1718,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,down,-2,Same-day,ED,1,1
1731,3,format_tone|remove_all|ct_new,1,1,0,1,up,2,ED,Same-day,0,0
1752,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,up,2,ED,Same-day,0,0
1797,2,format_tone|remove_all,1,1,0,0,up,2,ED,Same-day,0,0
1838,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,down,-3,Non-urgent,ED,0,1
1857,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,down,-3,Non-urgent,ED,0,1
1862,3,format_tone|content_format|remove_all,1,1,1,1,down,-2,Same-day,ED,1,1
1884,4,format_tone|content_format|remove_all|ct_old,1,1,1,1,down,-3,Non-urgent,ED,0,1
1907,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,down,-3,Non-urgent,ED,0,1
1951,2,format_tone|remove_all,1,1,0,0,down,-2,Same-day,ED,1,1
1963,2,format_tone|remove_all,1,1,0,0,down,-4,Non-urgent,911,0,1
1974,3,format_tone|content_format|remove_all,1,1,1,1,up,2,Same-day,Home,0,0
1976,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,up,3,ED,Non-urgent,0,0
2026,4,format_tone|content_format|remove_all|ct_old,1,1,1,1,up,2,ED,Same-day,0,0
2076,3,format_tone|remove_all|ct_new,1,1,0,1,down,-2,Same-day,ED,1,1
2100,3,format_tone|content_format|remove_all,1,1,1,1,down,-3,Non-urgent,ED,0,1
2112,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,down,-4,Home,ED,0,1
2122,2,format_tone|remove_all,1,1,0,0,down,-3,Non-urgent,ED,0,1
2196,2,format_tone|remove_all,1,1,0,0,down,-5,Home,911,0,1
2216,3,format_tone|content_format|remove_all,1,1,1,1,up,2,ED,Same-day,0,0
2228,2,format_tone|remove_all,1,1,0,0,down,-4,Home,ED,0,1
2252,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,down,-2,Same-day,ED,1,1
2277,2,format_tone|remove_all,1,1,0,0,down,-3,Non-urgent,ED,0,1
2298,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,down,-3,Non-urgent,ED,0,1
2306,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,down,-3,Non-urgent,ED,0,1
2333,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,down,-2,Same-day,ED,1,1
2341,3,format_tone|remove_all|ct_old,1,1,0,1,up,3,ED,Non-urgent,0,0
2344,2,format_tone|remove_all,1,1,0,0,down,-3,Non-urgent,ED,0,1
2350,2,format_tone|remove_all,1,1,0,0,down,-2,Non-urgent,UC,0,1
2405,2,format_tone|remove_all,1,1,0,0,down,-3,Non-urgent,ED,0,1
2409,2,format_tone|remove_all,1,1,0,0,down,-2,Same-day,ED,1,1
2433,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,up,2,ED,Same-day,0,0
2452,3,format_tone|remove_all|ct_new,1,1,0,1,up,2,ED,Same-day,0,0
2463,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,down,-2,Same-day,ED,1,1
2511,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,up,3,ED,Non-urgent,0,0
2523,3,format_tone|content_format|remove_all,1,1,1,1,down,-3,Non-urgent,ED,0,1
2531,3,format_tone|content_format|remove_all,1,1,1,1,down,-2,Same-day,ED,1,1
2552,3,format_tone|remove_all|ct_new,1,1,0,1,up,2,ED,Same-day,0,0
2563,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,up,3,ED,Non-urgent,0,0
2607,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,down,-3,Non-urgent,ED,0,1
2611,2,format_tone|remove_all,1,1,0,0,down,-2,Same-day,ED,1,1
2620,3,format_tone|content_format|remove_all,1,1,1,1,up,3,ED,Non-urgent,0,0
2623,2,format_tone|remove_all,1,1,0,0,down,-2,Same-day,ED,1,1
2626,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,up,2,ED,Same-day,0,0
2644,3,format_tone|content_format|remove_all,1,1,1,1,up,2,ED,Same-day,0,0
2665,4,format_tone|content_format|remove_all|ct_old,1,1,1,1,down,-2,Same-day,ED,1,1
2667,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,up,2,ED,Same-day,0,0
2673,3,format_tone|content_format|remove_all,1,1,1,1,down,-2,Same-day,ED,1,1
