sample_id,n_arms,arms,in_ra_ft,in_paper_ge2,in_paper_ge3,in_all_ge3,direction,delta,from_short,to_short,same_day_to_ed,interesting
0,3,format_tone|content_format|remove_all,1,1,1,1,down,-2,Same-day,ED,1,1
42,4,format_tone|content_format|remove_all|ct_old,1,1,1,1,down,-2,Same-day,ED,1,1
128,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,down,-2,Same-day,ED,1,1
201,2,format_tone|remove_all,1,1,0,0,down,-2,Same-day,ED,1,1
274,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,down,-2,Same-day,ED,1,1
345,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,down,-2,Same-day,ED,1,1
441,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,down,-2,Same-day,ED,1,1
459,2,format_tone|remove_all,1,1,0,0,down,-2,Same-day,ED,1,1
503,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,down,-2,Same-day,ED,1,1
518,3,format_tone|content_format|remove_all,1,1,1,1,down,-2,Same-day,ED,1,1
523,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,down,-2,Same-day,ED,1,1
667,2,format_tone|remove_all,1,1,0,0,down,-2,Same-day,ED,1,1
714,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,down,-2,Same-day,ED,1,1
831,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,down,-2,Same-day,ED,1,1
869,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,down,-2,Same-day,ED,1,1
932,3,format_tone|content_format|remove_all,1,1,1,1,down,-2,Same-day,ED,1,1
963,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,down,-2,Same-day,ED,1,1
984,3,format_tone|remove_all|ct_old,1,1,0,1,down,-2,Same-day,ED,1,1
1040,4,format_tone|content_format|remove_all|ct_old,1,1,1,1,down,-2,Same-day,ED,1,1
1159,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,down,-2,Same-day,ED,1,1
1263,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,down,-2,Same-day,ED,1,1
1424,2,format_tone|remove_all,1,1,0,0,down,-2,Same-day,ED,1,1
1642,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,down,-2,Same-day,ED,1,1
1709,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,down,-2,Same-day,ED,1,1
1718,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,down,-2,Same-day,ED,1,1
1862,3,format_tone|content_format|remove_all,1,1,1,1,down,-2,Same-day,ED,1,1
1951,2,format_tone|remove_all,1,1,0,0,down,-2,Same-day,ED,1,1
2076,3,format_tone|remove_all|ct_new,1,1,0,1,down,-2,Same-day,ED,1,1
2252,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,down,-2,Same-day,ED,1,1
2333,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,down,-2,Same-day,ED,1,1
2409,2,format_tone|remove_all,1,1,0,0,down,-2,Same-day,ED,1,1
2463,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,down,-2,Same-day,ED,1,1
2531,3,format_tone|content_format|remove_all,1,1,1,1,down,-2,Same-day,ED,1,1
2611,2,format_tone|remove_all,1,1,0,0,down,-2,Same-day,ED,1,1
2623,2,format_tone|remove_all,1,1,0,0,down,-2,Same-day,ED,1,1
2665,4,format_tone|content_format|remove_all|ct_old,1,1,1,1,down,-2,Same-day,ED,1,1
2673,3,format_tone|content_format|remove_all,1,1,1,1,down,-2,Same-day,ED,1,1
