model,field,arm_a,arm_b,n_a,n_b,n_intersection,n_only_a,n_only_b,n_union,jaccard,pct_a_in_b,pct_b_in_a
claude,diagnostic_consensus,format_tone,format_tone,571,571,571,0,0,571,1.0,100.0,100.0
claude,diagnostic_consensus,format_tone,content_format,571,465,283,288,182,753,0.3758,49.56,60.86
claude,diagnostic_consensus,format_tone,remove_all,571,591,376,195,215,786,0.4784,65.85,63.62
claude,diagnostic_consensus,format_tone,ct_old,571,441,275,296,166,737,0.3731,48.16,62.36
claude,diagnostic_consensus,format_tone,ct_new,571,449,271,300,178,749,0.3618,47.46,60.36
claude,diagnostic_consensus,content_format,content_format,465,465,465,0,0,465,1.0,100.0,100.0
claude,diagnostic_consensus,content_format,remove_all,465,591,277,188,314,779,0.3556,59.57,46.87
claude,diagnostic_consensus,content_format,ct_old,465,441,217,248,224,689,0.3149,46.67,49.21
claude,diagnostic_consensus,content_format,ct_new,465,449,231,234,218,683,0.3382,49.68,51.45
claude,diagnostic_consensus,remove_all,remove_all,591,591,591,0,0,591,1.0,100.0,100.0
claude,diagnostic_consensus,remove_all,ct_old,591,441,259,332,182,773,0.3351,43.82,58.73
claude,diagnostic_consensus,remove_all,ct_new,591,449,267,324,182,773,0.3454,45.18,59.47
claude,diagnostic_consensus,ct_old,ct_old,441,441,441,0,0,441,1.0,100.0,100.0
claude,diagnostic_consensus,ct_old,ct_new,441,449,284,157,165,606,0.4686,64.4,63.25
claude,diagnostic_consensus,ct_new,ct_new,449,449,449,0,0,449,1.0,100.0,100.0
claude,structured_any,format_tone,format_tone,1343,1343,1343,0,0,1343,1.0,100.0,100.0
claude,structured_any,format_tone,content_format,1343,1227,886,457,341,1684,0.5261,65.97,72.21
claude,structured_any,format_tone,remove_all,1343,1387,1037,306,350,1693,0.6125,77.22,74.77
claude,structured_any,format_tone,ct_old,1343,1122,820,523,302,1645,0.4985,61.06,73.08
claude,structured_any,format_tone,ct_new,1343,1119,820,523,299,1642,0.4994,61.06,73.28
claude,structured_any,content_format,content_format,1227,1227,1227,0,0,1227,1.0,100.0,100.0
claude,structured_any,content_format,remove_all,1227,1387,903,324,484,1711,0.5278,73.59,65.1
claude,structured_any,content_format,ct_old,1227,1122,755,472,367,1594,0.4737,61.53,67.29
claude,structured_any,content_format,ct_new,1227,1119,761,466,358,1585,0.4801,62.02,68.01
claude,structured_any,remove_all,remove_all,1387,1387,1387,0,0,1387,1.0,100.0,100.0
claude,structured_any,remove_all,ct_old,1387,1122,836,551,286,1673,0.4997,60.27,74.51
claude,structured_any,remove_all,ct_new,1387,1119,820,567,299,1686,0.4864,59.12,73.28
claude,structured_any,ct_old,ct_old,1122,1122,1122,0,0,1122,1.0,100.0,100.0
claude,structured_any,ct_old,ct_new,1122,1119,806,316,313,1435,0.5617,71.84,72.03
claude,structured_any,ct_new,ct_new,1119,1119,1119,0,0,1119,1.0,100.0,100.0
