model,field,arm,n_arm,n_remove_all,n_intersection,pct_arm_also_in_remove_all,pct_remove_all_also_in_arm,n_unique_to_arm,jaccard_vs_remove_all
claude,diagnostic_consensus,format_tone,571,591,376,65.85,63.62,195,0.4784
claude,diagnostic_consensus,content_format,465,591,277,59.57,46.87,188,0.3556
claude,diagnostic_consensus,remove_all,591,591,591,100.0,100.0,0,1.0
claude,diagnostic_consensus,ct_old,441,591,259,58.73,43.82,182,0.3351
claude,diagnostic_consensus,ct_new,449,591,267,59.47,45.18,182,0.3454
claude,structured_any,format_tone,1343,1387,1037,77.22,74.77,306,0.6125
claude,structured_any,content_format,1227,1387,903,73.59,65.1,324,0.5278
claude,structured_any,remove_all,1387,1387,1387,100.0,100.0,0,1.0
claude,structured_any,ct_old,1122,1387,836,74.51,60.27,286,0.4997
claude,structured_any,ct_new,1119,1387,820,73.28,59.12,299,0.4864
