ablation,field,n_paired,n_flip,pct_flip,n_high_to_low,pct_high_to_low,n_low_to_high,pct_low_to_high,n_ordinal,n_changed,pct_changed,mean_delta,mean_abs_delta,n_nmi,pct_nmi
ct_old,diagnostic_consensus,2350,441,18.766,278,11.8298,163,6.9362,0,0,,,,0,0.0
ct_old,next_steps_consensus,2293,548,23.8988,351,15.3075,197,8.5914,0,0,,,,0,0.0
ct_old,diagnosis,2676,2494,93.1988,0,0.0,0,0.0,0,0,,,,0,0.0
ct_old,cant_miss_ruling_out_question,2575,2548,98.9515,0,0.0,0,0.0,0,0,,,,0,0.0
ct_old,care_seeking,2679,459,17.1333,0,0.0,0,0.0,2664,445,16.7042,-0.0285,0.2065,15,0.5599
ct_new,diagnostic_consensus,2363,449,19.0013,281,11.8917,168,7.1096,0,0,,,,0,0.0
ct_new,next_steps_consensus,2277,533,23.408,345,15.1515,188,8.2565,0,0,,,,0,0.0
ct_new,diagnosis,2681,2490,92.8758,0,0.0,0,0.0,0,0,,,,0,0.0
ct_new,cant_miss_ruling_out_question,2585,2555,98.8395,0,0.0,0,0.0,0,0,,,,0,0.0
ct_new,care_seeking,2675,447,16.7103,0,0.0,0,0.0,2656,429,16.1521,-0.0151,0.2018,19,0.7103
ord_mean,diagnostic_consensus,,,nan,,,,,,,,,,,
ord_mean,next_steps_consensus,,,nan,,,,,,,,,,,
ord_mean,diagnosis,,,nan,,,,,,,,,,,
ord_mean,cant_miss_ruling_out_question,,,nan,,,,,,,,,,,
ord_mean,care_seeking,,,nan,,,,,,,,,,,
