index,question_type,original_answer,ground_truth,open_ended_correct,open_ended_q1_correct,open_ended_q2_correct,open_ended_q3_correct,open_ended_q4_correct
0,diagnosis,F,Acute myelogenous leukemia,True,True,True,True,True
1,diagnosis,C,Flow cytometry,True,False,False,False,False
2,diagnosis,A,Squamous cell carcinoma,True,True,True,False,True
3,diagnosis,A,Acute tubulointerstitial nephritis,True,True,True,False,True
4,diagnosis,C,Ruptured abdominal aortic aneurysm,True,True,True,False,True
5,diagnosis,C,Cavernous sinus thrombosis,True,True,True,False,True
6,diagnosis,A,Cytomegalovirus retinitis,True,True,True,False,True
7,diagnosis,C,Malingering,True,True,True,False,True
8,diagnosis,C,Malignant melanoma,True,True,True,False,True
9,explanation,D,Transfusion complication,True,True,True,True,True
10,diagnosis,F,"Osteosarcoma
""",True,True,True,True,True
11,diagnosis,C,Adjustment disorder with depressed mood,True,True,True,False,True
12,diagnosis,B,Ehrlichiosis,True,True,True,False,True
13,diagnosis,A,Acute rheumatic fever,True,True,True,True,True
14,other,D,Asymmetric septal hypertrophy,True,False,True,True,False
15,description,C,Normal grief reaction,True,True,True,True,True
16,description,B,Compartment pressure of 32 mmHg,False,False,False,False,False
17,explanation,D,Stretching of Glisson capsule,False,False,False,False,False
18,diagnosis,D,Acute pancreatitis,True,True,True,False,True
19,diagnosis,A,Conversion disorder,True,True,True,False,True
20,diagnosis,E,Pick’s disease,True,False,True,False,True
21,diagnosis,B,Conversion disorder,True,True,True,False,True
22,diagnosis,C,Cerebellar tumor,True,True,False,False,False
23,diagnosis,A,Cardiac contusion,True,True,True,False,True
24,diagnosis,C,Active chronic hepatitis B infection,True,False,False,False,False
25,diagnosis,E,Schwannoma,True,True,True,False,True
26,diagnosis,G,"Factitious disorder imposed on another
""",True,True,True,False,True
27,diagnosis,E,Colon cancer,True,True,True,False,True
28,diagnosis,E,Autosomal dominant polycystic kidney disease,True,True,True,True,True
29,diagnosis,A,Esophageal rupture,True,True,True,True,True
30,imaging,D,Distended gallbladder,False,False,False,False,False
31,diagnosis,E,Actinic keratosis,True,True,True,False,True
32,diagnosis,D,Subarachnoid hemorrhage,False,False,False,False,False
33,diagnosis,F,Erosive gastritis,True,True,True,True,True
34,diagnosis,A,1 month of associated symptoms ,False,False,False,False,False
35,findings,A,Increased c-ANCA titers,True,False,False,False,False
36,explanation,A,Acute lymphoid leukemia,True,True,True,True,True
37,diagnosis,D,Nephrolithiasis,True,True,True,False,True
38,diagnosis,C,Laceration of the spleen,False,False,False,False,False
39,diagnosis,C,Monoclonal gammopathy of undetermined significance,False,False,False,False,False
40,diagnosis,A,Serum sickness-like reaction,True,True,True,True,True
41,diagnosis,A,Pancreatic adenocarcinoma,True,True,True,False,True
42,description,E,Transmural granulomas in the bowel,False,False,False,False,True
43,diagnosis,D,Testicular malignancy,False,True,False,False,False
44,diagnosis,A,Aromatase deficiency,True,True,True,True,True
45,diagnosis,D,Type II heparin-induced thrombocytopenia,True,True,True,True,True
46,diagnosis,D,Delirium,True,True,True,True,True
47,cause,B,Coronary steal,True,True,True,True,True
48,other,B,Ethylene glycol,True,True,True,True,True
49,diagnosis,A,Diaphragmatic rupture,True,True,True,False,True
50,diagnosis,E,Post-traumatic stress disorder,True,True,True,False,True
51,cause,E,Cholesterol embolization,True,True,True,True,True
52,explanation,C,Normal stress reaction,True,True,True,True,True
53,diagnosis,B,Coronary artery occlusion,False,False,False,False,False
54,diagnosis,F,Hair tourniquet syndrome,True,True,True,True,True
55,diagnosis,C,Squamous cell carcinoma,True,True,True,False,True
56,test,B,Small cell lung carcinoma,True,False,False,False,False
57,diagnosis,E,Hemothorax,True,True,True,False,True
58,diagnosis,D,Nephrogenic diabetes insipidus,True,True,True,False,True
59,diagnosis,A,Acalculous cholecystitis,False,False,False,False,False
60,diagnosis,E,Stress cardiomyopathy,False,False,False,False,False
61,diagnosis,C,Febrile nonhemolytic reaction,True,True,True,False,True
62,diagnosis,F,Subdural hematoma,False,False,False,False,False
63,diagnosis,G,Acute lymphoblastic leukemia,True,True,True,True,True
64,diagnosis,A,Subacute thyroiditis,True,True,True,True,True
65,diagnosis,B,Parvovirus B19,True,True,True,False,True
66,diagnosis,D,Leukemoid reaction,True,True,True,True,True
67,diagnosis,D,Duodenal peptic ulcer,True,True,True,False,True
68,diagnosis,D,Lipoma,True,True,False,False,True
69,diagnosis,E,Transient ischemic attack,True,True,True,True,True
70,diagnosis,C,Cytomegalovirus infection,True,True,True,True,True
71,cause,F,Amyloid angiopathy,True,True,True,True,True
72,diagnosis,E,Trigeminal neuralgia,True,True,True,True,True
73,diagnosis,C,Consuming meats cooked over a campfire,False,False,False,False,False
74,diagnosis,A,Acute interstitial nephritis,True,True,True,True,True
75,diagnosis,E,Subacute sclerosing panencephalitis,True,True,True,True,True
76,explanation,C,Eosinophilic esophagitis,True,True,True,True,True
77,diagnosis,E,Transient ischemic attack,True,True,True,True,True
78,diagnosis,C,Molluscum contagiosum,True,True,True,True,True
79,diagnosis,D,Osteitis deformans,True,True,True,False,True
80,diagnosis,D,Drug-induced angioedema,True,True,True,False,False
81,cause,D,Membranous nephropathy,False,False,False,False,True
82,cause,D,Partial molar pregnancy,True,False,False,True,False
83,cause,A,Parvovirus B19,True,True,True,True,True
84,diagnosis,C,Vascular ectasia within the liver,False,False,False,False,False
85,diagnosis,E,Muscle strain,True,True,True,False,True
86,diagnosis,B,Dengue fever,True,True,True,False,True
87,diagnosis,C,Hemophilia,True,True,True,True,True
88,cause,C,Medication reaction,True,True,True,True,True
89,diagnosis,B,Complex partial seizure,True,True,True,True,True
90,diagnosis,C,Mucosal tear at the gastroesophageal junction,True,True,True,False,True
91,diagnosis,E,Anorexia nervosa,True,True,True,False,True
92,diagnosis,D,Rubeola,True,True,True,False,True
93,cause,A,Cardiac tamponade,True,False,False,False,False
94,diagnosis,E,Radial head subluxation,True,True,True,False,True
95,diagnosis,E,Pulmonary contusion,False,False,True,False,False
96,diagnosis,D,Drug-induced angioedema,True,True,False,False,True
97,diagnosis,A,Brugada syndrome,False,False,True,False,False
98,cause,A,Syndrome of Inappropriate Antidiuretic Hormone (SIADH),True,True,True,True,True
99,other,C,Threatened abortion,True,True,True,True,True
100,diagnosis,D,Pancreatic pseudocyst,False,False,False,False,False
101,cause,B,Traumatic aortic dissection,False,True,True,False,False
102,diagnosis,B,Echinococcosis,True,True,True,False,True
103,explanation,C,Myelodysplastic syndrome,True,True,True,True,True
104,cause,D,Rotavirus,True,True,True,True,True
105,organism,D,Mycoplasma pneumoniae,True,True,True,True,True
106,other,B,Medium-chain acyl-CoA dehydrogenase,True,True,True,True,True
107,cause,D,Gilbert syndrome,True,True,True,True,True
108,diagnosis,B,Infective endocarditis,True,True,True,True,True
109,diagnosis,F,Chronic lymphocytic leukemia,True,True,True,True,True
110,explanation,E,Cocaine use,True,True,True,True,True
111,diagnosis,C,Chronic myeloid leukemia,True,True,True,True,True
112,findings,C,Hyaline membranes lining the alveoli on lung biopsy,True,False,False,False,False
113,diagnosis,D,Osteoarthritis,True,True,True,True,True
114,diagnosis,E,Plasma cell dyscrasia,True,True,True,False,True
115,diagnosis,E,Perforated peptic ulcer,True,True,True,False,True
116,diagnosis,A,Cerebral venous thrombosis,False,True,False,True,False
117,diagnosis,D,Left ventricular free wall rupture,True,True,True,True,True
118,diagnosis,B,Poliomyelitis,True,True,True,False,True
119,diagnosis,D,Premature atrial contractions,False,False,False,False,False
120,cause,B,Atrioventricular reentrant tachycardia from accessory conduction pathway,True,True,True,True,True
121,other,C,A 41-year-old female with a facial rash and nonerosive arthritis,True,False,False,False,False
122,diagnosis,A,Exertional heat stroke,False,False,False,False,True
123,other,A,Simple partial,True,False,True,True,True
124,diagnosis,A,Phantom limb pain,True,True,True,False,True
125,cause,E,Idiopathic,False,False,False,False,False
126,diagnosis,A,Dumping syndrome,True,True,True,False,True
127,diagnosis,C,Mobitz type I,False,False,False,False,False
128,diagnosis,C,"Hyperuricemia, hyperkalemia, hyperphosphatemia, lactic acidosis, and urate crystals in the urine",True,False,False,False,False
129,diagnosis,A,Diaphragmatic rupture,False,False,False,False,True
130,diagnosis,A,Cardiac tamponade,True,True,True,True,True
131,diagnosis,A,Abdominal aortic aneurysm,True,False,False,False,True
