index,question,options,default_true,solution_true,default_correct_true,default_false,solution_false,default_correct_false,pred_a_true,correct_a_true,raw_a_true,pred_a_false,correct_a_false,raw_a_false,pred_b_true,correct_b_true,raw_b_true,pred_b_false,correct_b_false,raw_b_false,pred_c_true,correct_c_true,raw_c_true,pred_c_false,correct_c_false,raw_c_false,pred_d_true,correct_d_true,raw_d_true,pred_d_false,correct_d_false,raw_d_false
0,"A 55-year-old postmenopausal woman reports experiencing sharp pain in the right groin for the past two weeks, which is alleviated by standing. Her blood pressure is 140/92 mm Hg, and her heart rate is 88 bpm. Cardiac auscultation reveals no murmurs or gallops, and abdominal, lung, and genitourinary examinations are unremarkable, with no palpable hernias. On osteopathic evaluation, there is tenderness at L4 and L5 in the right paraspinal region. The right sacral sulcus is shallow, and the right inferior lateral angle is posterior. A seated flexion test is positive on the right. Radiographic imaging of the hip and lumbar spine shows no acute or chronic abnormalities. Which structure is most likely implicated in the patient’s condition?",A. No   B. Yes,B,B,True,A,A,True,A,False,A,A,True,A,A,False,A,A,True,A,B,True,B,A,True,A,A,False,A,A,True,A
1,"A newborn develops tachypnea and retractions shortly after birth, with a respiratory rate of 90/min. Despite this, the infant shows no cyanosis, appears active, and does not look ill. Blood gas analysis reveals no CO2 retention, and there are no other abnormal finding such as fever or rash. The baby was delivered via cesarean section at 38 weeks following an uneventful pregnancy and is now under observation in intensive care. Which is the best management approach for this case?",A. Yes   B. No,B,A,False,B,B,True,B,False,B,B,True,B,B,False,B,B,True,B,B,False,B,B,True,B,B,False,B,B,True,B
2,"Over the past year, a pediatric cardiac surgeon evaluated five children with similar congenital heart defects. All of the children had stable vital sign and were on appropriate medication. A loud holosystolic murmur was noted over the third intercostal space at the left sternal border in each child. Echocardiograms were performed, and surgical closure of the defect was recommended for one of the patient. Which patient required surgical repair of the defect?",A. Yes   B. No,B,A,False,B,B,True,B,False,B,B,True,B,B,False,B,B,True,B,B,False,B,B,True,B,B,False,B,B,True,B
3,"A 43-year-old man with a history of hepatitis C and current intravenous drug use presents with 5 days of fever, chills, headache, and severe back pain. On physical exam, temperature is 100.6 deg F (38.1 deg C), blood pressure is 109/56 mmHg, pulse is 94/min, and respirations are 18/min. He is thin and diaphoretic with pinpoint pupils, poor dentition, and track marks on his arms and legs. A high-pitched systolic murmur is heard, loudest in the left sternal border and with inspiration. He is admitted to the hospital and started on broad-spectrum antibiotics. One of the blood cultures drawn 12 hours ago returns positive for Staphylococcus aureus. Which is the most appropriate next step to confirm the diagnosis?",A. Yes   B. No,B,A,False,B,B,True,B,False,B,B,True,B,B,False,B,B,True,B,B,False,B,B,True,B,B,False,B,B,True,B
4,"A 26-year-old woman in her first pregnancy presents for a routine prenatal visit at 27 weeks' gestation. Her pregnancy has been uncomplicated except for increasing fatigue and mild leg swelling. Her medical history includes epilepsy managed with lamotrigine, and her sister had preeclampsia during pregnancy. She is up-to-date on immunizations and denies tobacco or alcohol use. Physical examination reveals a temperature of 36.1°C (97.0°F), pulse of 88/min, and blood pressure of 128/78 mm Hg. The uterine size is appropriate for gestational age, and she has bilateral 1+ pitting ankle edema. Laboratory results show: | Hemoglobin | 13.1 g/dL | | --- | --- | | Mean corpuscular volume | 91 μm3 | | Leukocyte count | 5100/mm3 | | Platelet count | 131,000/mm3 | What is the most appropriate next step in management?",A. No   B. Yes,B,B,True,A,A,True,A,False,A,A,True,A,A,False,A,A,True,A,A,False,A,A,True,A,B,True,B,A,True,A
5,"A newborn male, delivered at 34 weeks gestation, is being assessed in the NICU for breathing difficulties. The mother's pregnancy was notable for polyhydramnios, and the infant had Apgar scores of 6 and 8 at 1 and 5 minutes. The mother is 33 years old, healthy, and this was her first pregnancy with appropriate prenatal care. NICU staff observed excessive oral secretions and periodic oxygen desaturation. Current vital sign show temperature 100.8°F (38.2°C), blood pressure 100/55 mmHg, heart rate 130/min, and respiratory rate 28/min. Clinical examination reveals respiratory distress with intercostal retractions and bilateral rales on lung auscultation. The abdomen appears moderately distended. A chest X-ray shows coiling of the nasogastric tube within the esophagus. Which condition should be investigated in this patient?",A. No   B. Yes,A,B,False,A,A,True,B,True,B,A,True,A,B,True,B,A,True,A,A,False,A,A,True,A,B,True,B,A,True,A
6,"A 5-year-old boy is brought to the emergency department with complaints of a sore throat and difficulty breathing. His mother reports that the symptom began the previous night and have worsened rapidly. The child is normally healthy, up to date on all childhood vaccinations, and takes a daily multivitamin. His temperature is 103°F (39.4°C), blood pressure is 100/64 mmHg, pulse is 155/min, respirations are 29/min, and oxygen saturation is 95% on room air. On examination, he appears ill, is drooling, and leans forward to breathe. He is nonverbal, visibly uncomfortable, and does not cooperate with an oral examination. What is the most likely infectious cause of this patient’s symptom?",A. Yes   B. No,B,A,False,B,B,True,B,False,B,B,True,B,B,False,B,B,True,B,B,False,B,B,True,B,B,False,B,B,True,B
7,"An 18-year-old male presents for a follow-up evaluation two months after craniopharyngioma resection. The tumor was initially discovered during investigation of delayed puberty and panhypopituitarism. He reports feeling generally well but notes intermittent fevers reaching 39°C and increased appetite. His medication regimen includes: - Levothyroxine 112 μg daily - Hydrocortisone (20 mg morning, 10 mg afternoon) - Desmopressin nasal spray - Testosterone injections (intramuscular) Current examination reveals: - Temperature: 38.8°C - Heart rate: 97/min - Blood pressure: 129/88 mm Hg - BMI: 34.2 - Well-healed craniotomy scar without complications - No nuchal rigidity - Otherwise normal physical exam Laboratory finding are unremarkable except: - Sodium: 146 mEq/L (reference: 136-145) - TSH: 0.051 μU/mL (reference: 0.5-4.7) - Free T4: 1.8 ng/dL (reference: 0.8-1.8) Recent negative workup includes: - Two sets of blood cultures - Urinalysis and urine culture - CSF analysis - Chest radiograph - MRI head (showing expected post-surgical changes) What is the most likely etiology of this patient's fever?",A. Yes   B. No,A,A,True,B,B,True,A,True,A,B,True,B,A,True,A,B,True,B,A,True,A,B,True,B,A,True,A,B,True,B
8,"A 65-year-old man presents with four months of low-grade fever and malaise. He also says he has lost 9 kg (20 lb) during this period and suffers from extreme fatigue. Past medical history is significant for a mitral valve replacement five years ago. His temperature is 38.1°C (100.6°F), respirations are 22/min, pulse is 102/min, and blood pressure is 138/78 mm Hg. On physical examination, there is a new onset 2/6 holosystolic murmur, loudest in the apical area of the precordium. Which organisms is the most likely cause of this patient’s condition?",A. No   B. Yes,B,B,True,A,A,True,B,True,B,A,True,A,B,True,B,A,True,A,B,True,B,A,True,A,B,True,B,A,True,A
9,"A 57-year-old male presents to the emergency department with a one-week history of weakness and subjective fever. His medical history includes IV drug use, hepatitis C, atrial fibrillation, cirrhosis, alcohol dependence, obesity, and depression. On examination, his temperature is 102°F (38.9°C), blood pressure is 157/98 mmHg, pulse is 110/min, respirations are 17/min, and oxygen saturation is 98% on room air. The patient appears fatigued with diffuse jaundice. Cardiopulmonary examination reveals bibasilar crackles, and abdominal examination shows distension, dullness to percussion, a fluid wave, and generalized tenderness. The patient is admitted to the hospital and started on piperacillin-tazobactam. By day 4, he is afebrile, with a pulse of 92/min, reduced abdominal tenderness, and persistent jaundice. Nurses report bleeding from two peripheral IV sites requiring pressure to control, along with new bruises on the patient's arms and legs. What is the most likely explanation for this patient's condition?",A. No   B. Yes,A,B,False,A,A,True,A,False,A,A,True,A,A,False,A,B,False,B,A,False,A,A,True,A,B,True,B,B,False,B
