index,question,options,solution,question_tone,default,alternative,default_correct,pred_a,correct_a,pred_b,correct_b,pred_c,correct_c,pred_d,correct_d
0,"I am a 55-year-old postmenopausal woman who has been experiencing sharp pain in my right groin for the past two weeks. I have noticed that the pain is alleviated when I stand. During a recent check-up, my blood pressure was measured at 140/92 mm Hg, and my heart rate was 88 beats per minute. The examination of my heart revealed no murmurs or gallops.

When evaluated further, my abdominal, lung, and genitourinary examinations did not show any significant findings, and there were no palpable hernias. An osteopathic evaluation indicated tenderness in the right paraspinal region at the L4 and L5 vertebrae. Additionally, I had a shallow right sacral sulcus and a posterior right inferior lateral angle. The seated flexion test was positive on the right side.

Radiographic imaging of my hip and lumbar spine did not reveal any acute or chronic abnormalities. Based on these findings, I am trying to understand which structure might be implicated in my condition, considering options such as the sacrotuberous ligament, quadratus lumborum muscle, piriformis muscle, and several others.",A. Sacrotuberous ligament B. Quadratus lumborum muscle C. Piriformis muscle D. Posterior sacroiliac ligament E. Iliolumbar ligament F. Anterior sacroiliac ligament G. Psoas major muscle H. Sacrospinous ligament I. Gluteus medius muscle J. Iliacus muscle,E,neutral,C,E,False,C,False,A,False,A,False,E,True
1,"Shortly after my birth, I began to experience tachypnea and retractions, with a respiratory rate of 90 breaths per minute. Despite these symptoms, I did not show any signs of cyanosis and appeared active without looking ill. My delivery took place via cesarean section at 38 weeks, following an uneventful pregnancy, and I was subsequently placed under observation in intensive care.

During my time in the unit, blood gas analysis indicated that I was not retaining CO2, and there were no other concerning findings such as fever or rash. The medical team assessed my condition and considered several management options. They weighed the possibility that my symptoms could be benign and self-limiting versus potential concerns like pneumonia or sepsis.

Ultimately, the medical team determined that my condition was likely transient tachypnea of the newborn and did not require any specific treatment or antibiotics. I continued to be monitored closely to ensure my well-being as I adjusted to life outside the womb.","A. Respiratory support with mechanical ventilation is the first-line management B. The condition is benign and self-limiting, requiring no specific treatment C. This is hard to distinguish from pneumonia and sepsis so empirical antibiotics are given for 48 hours after birth until sepsis is ruled out D. Surfactant deficiency is the underlying cause, so surfactant therapy is required E. This is most likely transient tachypnea of the newborn and requires no antibiotics F. Tachypnea in this case is likely due to a congenital heart defect, so echocardiography is indicated G. ABG is needed to monitor  and it is normal to have CO2 retention H. A chest X-ray must be done immediately to confirm the diagnosis of neonatal pneumonia I. Empirical antifungal therapy should be initiated until fungal sepsis is ruled out J. Oxygen therapy is the mainstay of therapy with  monitoring with SpO2",C,neutral,E,C,False,E,False,E,False,B,False,E,False
2,"Over the past year, I underwent evaluation by a pediatric cardiac surgeon due to a congenital heart defect. During this time, five children, including myself, were assessed for similar conditions. All of us exhibited stable vital signs and were receiving appropriate medications. During the examination, a loud holosystolic murmur was noted over the third intercostal space at the left sternal border for each of us.

The surgeon conducted echocardiograms to gain further insight into our heart defects. After reviewing the findings, surgical closure of the defect was recommended for one of the patients. I observed that there were various cases among us, each with different defect sizes and associated complications, which included conditions like pulmonary hypertension and shunting patterns. 

The specific details of each case varied: one child had a muscular defect with a mild left-to-right shunt, another had moderate pulmonary hypertension responsive to medication, while others presented with severe pulmonary vascular disease or bidirectional shunting. The circumstances surrounding our evaluations highlighted the complexities of congenital heart defects and the individualized approach required for treatment recommendations.",A. A 5-year-old boy with a 3-mm muscular defect and mild left-to-right shunt B. An 18-month-old boy with a 6-mm defect and moderate pulmonary hypertension responsive to vasodilators C. A 7-year-old boy with an 11-mm muscular defect and severe pulmonary vascular disease that is unresponsive to pulmonary vasodilators D. A 6-year-old boy with a 7-mm defect and bidirectional shunting E. A 3-year-old girl with a 2-mm perimembranous defect and normal pulmonary pressures F. A 15-month-old girl with a 4.5-mm defect showing decreasing size on follow-up imaging G. A 5-year-old girl with a 2-mm membranous defect and a left-to-right shunt without associated left ventricular dilation H. An 8-month-old girl with a 3-mm defect and normal pulmonary artery pressures I. A 4-year-old girl with multiple small muscular defects (<3mm each) and normal right ventricular pressure J. A 9-month-old boy with a 4-mm muscular defect with pulmonary hypertension,J,neutral,C,J,False,C,False,D,False,B,False,J,True
3,"I am a 43-year-old man with a history of hepatitis C and current intravenous drug use. Recently, I experienced 5 days of fever, chills, headache, and severe back pain. When I sought medical attention, my temperature was recorded at 100.6°F, my blood pressure was 109/56 mmHg, my pulse was 94 beats per minute, and my respirations were 18 per minute. During the examination, I appeared thin and was sweating profusely. The doctor noted that I had pinpoint pupils, poor dental health, and track marks on my arms and legs.

A high-pitched systolic murmur was detected, which was loudest near the left sternal border and increased with inspiration. I was admitted to the hospital, where I was started on broad-spectrum antibiotics. Twelve hours later, one of the blood cultures taken returned positive for Staphylococcus aureus. 

Following this, my medical team discussed the next steps for confirming the diagnosis. They considered several options, including whether to repeat blood cultures or perform additional imaging. The focus was on determining the most appropriate actions to take based on my current condition and the findings from the initial cultures.",A. Repeat blood cultures only if the patient develops new symptoms B. Repeat blood cultures 24 hours after initial cultures were drawn C. Initiate antifungal therapy and defer repeat blood cultures D. Do not repeat blood cultures E. Perform transthoracic echocardiography before repeating blood cultures F. Repeat blood cultures 48 hours after initial antibiotics are started G. Perform transesophageal echocardiography immediately H. Repeat blood cultures now I. Order a CT scan of the chest to assess for septic emboli J. Wait for sensitivity results before repeating blood cultures,H,neutral,G,H,False,H,True,H,True,B,False,H,True
4,"At 27 weeks into my first pregnancy, I attended a routine prenatal visit. Overall, my pregnancy had been uncomplicated, although I had been experiencing increasing fatigue and mild swelling in my legs. My medical history includes epilepsy, which I manage with lamotrigine. I also learned that my sister had experienced preeclampsia during her pregnancy.

During the visit, I was informed that I was up-to-date on my immunizations and that I do not use tobacco or alcohol. The physical examination showed a temperature of 36.1°C, a pulse of 88 beats per minute, and my blood pressure was recorded at 128/78 mm Hg. It was noted that the size of my uterus was appropriate for my gestational age, but I had bilateral 1+ pitting edema in my ankles.

After the examination, I was informed that further steps were being considered to ensure my health and the health of my baby. The healthcare team discussed the most appropriate next steps in my management following their assessment.",A. Admit the patient for observation and preeclampsia workup B. Reassure the patient and schedule a follow-up appointment C. Initiate corticosteroid therapy for fetal lung maturity D. Order coagulation studies and liver chemistries E. Order urine dipstick and ambulatory blood pressure monitoring F. Initiate low-dose aspirin therapy G. Repeat platelet count and peripheral smear in 2 weeks H. Perform a biophysical profile to assess fetal status I. Perform a non-stress test to assess fetal well-being J. Measure serum protein and albumin levels,B,neutral,B,J,True,B,True,E,False,F,False,B,True
5,"I was born as a male at 34 weeks gestation and was assessed in the NICU due to breathing difficulties. My mother, 33 years old and generally healthy, experienced polyhydramnios during her pregnancy. At one and five minutes after birth, I received Apgar scores of 6 and 8, respectively. 

In the NICU, the staff observed that I had excessive oral secretions and experienced periodic oxygen desaturation. My vital signs indicated a temperature of 100.8°F, blood pressure of 100/55 mmHg, a heart rate of 130 beats per minute, and a respiratory rate of 28 breaths per minute. During the clinical examination, signs of respiratory distress were noted, including intercostal retractions and bilateral rales upon lung auscultation. Additionally, my abdomen appeared moderately distended.

A chest X-ray revealed that the nasogastric tube was coiling within my esophagus. Given these observations, the medical team determined that further investigation into specific conditions was necessary to better understand my situation.",A. Pyloric stenosis B. Esophageal atresia with tracheoesophageal fistula C. Congenital diaphragmatic hernia D. Laryngeal web E. Ventricular septal defect F. Bronchogenic cyst G. Hirschsprung disease H. Choanal atresia I. Meconium ileus J. Duodenal atresia,E,neutral,B,E,False,B,False,B,False,B,False,B,False
6,"I was taken to the emergency department after my mother noticed I had a sore throat and was having difficulty breathing. My symptoms started the night before and seemed to worsen quickly. I am usually a healthy 5-year-old, and I keep up with all my vaccinations while taking a daily multivitamin.

When we arrived at the hospital, the staff recorded my temperature, which was 103°F. They also checked my blood pressure, pulse, and breathing rate. I was feeling very ill and was drooling, leaning forward to find a more comfortable position to breathe. I struggled to communicate and was visibly uncomfortable during the examination, making it hard for the doctors to perform an oral exam.

The healthcare team seemed concerned about my condition and was evaluating the possible causes of my symptoms. They noted my high fever, difficulty in breathing, and overall distress. The focus was on identifying the most likely infectious cause of my illness.",A. Haemophilus influenzae B. Streptococcus pneumoniae C. Parainfluenza virus D. Staphylococcus aureus E. Group A Streptococcus F. Adenovirus G. Mycoplasma pneumoniae H. Epstein-Barr virus I. Corynebacterium diphtheriae J. Respiratory syncytial virus (RSV),B,neutral,A,B,False,A,False,A,False,A,False,A,False
7,"I am an 18-year-old male who recently underwent surgery for a craniopharyngioma, which was discovered while investigating my delayed puberty and panhypopituitarism. I returned for a follow-up evaluation two months post-surgery. Overall, I feel generally well, but I have been experiencing intermittent fevers that reach up to 39°C, along with an increased appetite.

My current medication regimen includes daily levothyroxine, hydrocortisone taken in the morning and afternoon, desmopressin nasal spray, and intramuscular testosterone injections. During my examination, my temperature was noted at 38.8°C, with a heart rate of 97 beats per minute and blood pressure at 129/88 mm Hg. My body mass index (BMI) was measured at 34.2. The craniotomy scar appears well-healed without any complications, and there is no sign of nuchal rigidity. The rest of my physical exam was normal.

Recent tests, including two sets of blood cultures, urinalysis, and chest radiograph, returned negative results. An MRI of my head showed expected post-surgical changes. 

Given these circumstances, I am left to consider the potential causes of my fever, which could range from medication-induced effects to possible hypothalamic dysfunction or other post-operative complications.",A. Medication-induced fever B. Residual tumor progression C. Drug reaction D. Hypothalamic dysfunction E. Occult postoperative infection F. Autonomic dysregulation G. Autoimmune hypophysitis H. Overrepletion of thyroid hormone I. Inadequate glucocorticoid replacement J. Meningeal irritation,D,neutral,D,J,True,D,True,H,False,H,False,H,False
8,"I am a 65-year-old man who recently experienced a series of concerning symptoms over the past four months. I developed a low-grade fever and a sense of malaise that persisted throughout this period. I noticed a significant weight loss of 9 kg (20 lb) and felt an extreme level of fatigue that affected my daily activities.

During a medical consultation, my temperature was recorded at 38.1°C (100.6°F), and my vital signs showed a respiratory rate of 22 breaths per minute, a pulse of 102 beats per minute, and a blood pressure of 138/78 mm Hg. Upon physical examination, my doctor detected a new onset 2/6 holosystolic murmur, which was loudest in the apical area of my precordium.

I have a medical history that includes a mitral valve replacement five years ago. Given my symptoms and findings, my doctor has been considering the potential causes of my condition.",A. *Pseudomonas aeruginosa* B. *Bartonella henselae* C. HACEK group organisms D. *Candida albicans* E. Beta-hemolytic streptococci F. *Staphylococcus aureus* G. Coagulase-negative *Staphylococcus spp.* H. *Pseudomonas* aeruginosa I. *Streptococcus bovis* J. *Enterococcus*,G,neutral,F,G,False,F,False,B,False,B,False,F,False
9,"I am a 57-year-old male who recently went to the emergency department after experiencing a week of weakness and subjective fever. My medical history includes IV drug use, hepatitis C, atrial fibrillation, cirrhosis, alcohol dependence, obesity, and depression. Upon examination, I had a temperature of 102°F, blood pressure of 157/98 mmHg, and a pulse of 110 beats per minute. My respiratory rate was 17 breaths per minute, and my oxygen saturation was 98% while breathing room air. I felt fatigued and exhibited signs of diffuse jaundice.

During the physical exam, the healthcare provider noted bibasilar crackles in my lungs and found my abdomen distended with dullness to percussion and tenderness. I was admitted to the hospital and treated with piperacillin-tazobactam. By the fourth day, I was afebrile, my pulse had decreased to 92 beats per minute, and the abdominal tenderness had lessened, although the jaundice persisted.

The nursing staff reported that I had bleeding from two peripheral IV sites, which required pressure to control, and I developed new bruises on my arms and legs. These symptoms prompted further evaluation to understand the underlying cause of my condition.",A. Fibrinolysis activation due to liver failure B. Vitamin K deficiency due to liver dysfunction C. Diffuse activation of the coagulation cascade D. Disseminated intravascular coagulation (DIC) E. Platelet dysfunction secondary to sepsis F. Decreased production of coagulation factors G. Immune-mediated platelet destruction H. Hypersplenism causing thrombocytopenia I. Decreased metabolism of an anticoagulant J. Bacterial destruction,J,neutral,F,J,False,F,False,D,False,D,False,D,False
10,"I am a 59-year-old male who recently visited my primary care physician due to feelings of fatigue. Although I generally consider myself healthy, I've noticed some concerning changes, including unexpected weight loss, abdominal pain, and a persistent sense of fatigue. 

My medical history includes anxiety and diabetes, and I previously suffered a foot fracture after tripping. Additionally, I had a recent cold that caused me to miss work for a week. My current medications include metformin, insulin, buspirone, vitamin D, calcium, and sodium docusate. 

During my appointment, the doctor noted my vital signs: a temperature of 99.5°F, blood pressure at 150/100 mmHg, a pulse of 90 beats per minute, and respirations at 18 per minute, with oxygen saturation at 98% on room air. The physical exam showed that I appeared calm, though a mild systolic murmur was detected in the left upper sternal region. Otherwise, the exam was unremarkable.

Given these symptoms and findings, my physician is considering various diagnoses related to my elevated leukocyte count and other factors. I am awaiting further evaluation to determine the most likely cause of my symptoms.",A. Myelodysplastic syndrome B. Polycythemia vera C. Chronic lymphocytic leukemia D. Primary myelofibrosis E. Leukemoid reaction F. Essential thrombocythemia G. Chronic myeloid leukemia H. Acute myeloid leukemia I. Chronic myelogenous leukemia J. Paraneoplastic leukocytosis,E,neutral,G,E,False,I,False,G,False,E,True,E,True
11,"I was assessed in the labor and delivery unit shortly after my birth, which took place at 37 weeks of gestation. I experienced feeding difficulties, rapid breathing, and had a bluish-grey skin discoloration. My mother, who had irregular prenatal care, reported no drug use during her pregnancy.

Upon examination, my temperature was recorded at 98.2 ºF, with a blood pressure of 70/40 mmHg and a pulse rate of 170 beats per minute. My respiratory rate was noted to be 56 breaths per minute. The physical examination indicated that I was lethargic and cyanotic, and there was evidence of jugular venous distention.

During chest auscultation, the medical team observed tachypnea, a single second heart sound, and a continuous murmur. A chest X-ray revealed reduced pulmonary vascular markings, while an electrocardiogram showed tall P-waves in lead II and low-amplitude R-waves in leads V1-V3. 

These findings led the medical team to consider possible congenital cardiac anomalies that could explain my symptoms.",A. Total anomalous pulmonary venous return B. Complete transposition of the great arteries C. Isolated opening in membranous interventricular septum D. Persistent truncus arteriosus E. Enclosed muscular floor within the right atrium F. Pulmonary venous drainage into the right atrium G. Proximal atrialization of the right ventricle H. Severe tricuspid valve regurgitation I. Right ventricular hypertrophy with pulmonary stenosis J. Hypoplastic left heart syndrome,E,neutral,B,E,False,B,False,D,False,D,False,B,False
